Alibaba Quarterly Net Income (Millions of US $),Alibaba Quarterly Net Income (Millions of US $).1
2024-06-30,"$3,340"
2024-03-31,$479
2023-12-31,"$2,033"
2023-09-30,"$3,797"
2023-06-30,"$4,735"
2023-03-31,"$3,265"
2022-12-31,"$6,788"
2022-09-30,"$-2,890"
2022-06-30,"$3,395"
2022-03-31,"$-1,256"
2021-12-31,"$3,206"
2021-09-30,$833
2021-06-30,"$6,991"
2021-03-31,$-205
2020-12-31,"$12,173"
2020-09-30,"$4,237"
2020-06-30,"$6,736"
2020-03-31,$321
2019-12-31,"$7,514"
2019-09-30,"$10,149"
2019-06-30,"$3,096"
2019-03-31,"$4,016"
2018-12-31,"$4,807"
2018-09-30,"$2,917"
2018-06-30,"$1,313"
2018-03-31,"$1,679"
2017-12-31,"$3,700"
2017-09-30,"$2,656"
2017-06-30,"$2,166"
2017-03-31,"$1,494"
2016-12-31,"$2,572"
2016-09-30,"$1,143"
2016-06-30,"$1,136"
2016-03-31,$599
2015-12-31,"$1,929"
2015-09-30,"$3,580"
2015-06-30,"$4,975"
2015-03-31,$464
2014-12-31,$957
2014-09-30,$485
2014-06-30,"$1,990"
2013-12-31,"$1,350"
2013-09-30,$802
2013-03-31,
2012-03-31,
2011-03-31,
2010-03-31,
