Alnylam Pharmaceuticals Quarterly Net Income (Millions of US $),Alnylam Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-06-30,$-17
2024-03-31,$-66
2023-12-31,$-138
2023-09-30,$148
2023-06-30,$-276
2023-03-31,$-174
2022-12-31,$-207
2022-09-30,$-406
2022-06-30,$-277
2022-03-31,$-240
2021-12-31,$-258
2021-09-30,$-205
2021-06-30,$-190
2021-03-31,$-200
2020-12-31,$-244
2020-09-30,$-253
2020-06-30,$-179
2020-03-31,$-182
2019-12-31,$-276
2019-09-30,$-209
2019-06-30,$-219
2019-03-31,$-182
2018-12-31,$-211
2018-09-30,$-245
2018-06-30,$-164
2018-03-31,$-141
2017-12-31,$-142
2017-09-30,$-123
2017-06-30,$-118
2017-03-31,$-107
2016-12-31,$-113
2016-09-30,$-104
2016-06-30,$-90
2016-03-31,$-103
2015-12-31,$-91
2015-09-30,$-77
2015-06-30,$-72
2015-03-31,$-51
2014-12-31,$-21
2014-09-30,$-44
2014-06-30,$-44
2014-03-31,$-251
2013-12-31,$-32
2013-09-30,$-30
2013-06-30,$-18
2013-03-31,$-9
2012-12-31,$-62
2012-09-30,$-20
2012-06-30,$-13
2012-03-31,$-11
2011-12-31,$-14
2011-09-30,$-13
2011-06-30,$-14
2011-03-31,$-16
2010-12-31,$-7
2010-09-30,$-10
2010-06-30,$-15
2010-03-31,$-12
2009-12-31,$-8
2009-09-30,$-9
2009-06-30,$-23
2009-03-31,$-8
