Dr Reddy's Laboratories Quarterly Net Income (Millions of US $),Dr Reddy's Laboratories Quarterly Net Income (Millions of US $).1
2024-06-30,$167
2024-03-31,$153
2023-12-31,$165
2023-09-30,$178
2023-06-30,$171
2023-03-31,$107
2022-12-31,$152
2022-09-30,$139
2022-06-30,$150
2022-03-31,$5
2021-12-31,$95
2021-09-30,$134
2021-06-30,$77
2021-03-31,$53
2020-12-31,$3
2020-09-30,$103
2020-06-30,$77
2020-03-31,$88
2019-12-31,$-80
2019-09-30,$155
2019-06-30,$96
2019-03-31,$66
2018-12-31,$67
2018-09-30,$72
2018-06-30,$67
2018-03-31,$46
2017-12-31,$52
2017-09-30,$44
2017-06-30,$9
2017-03-31,$54
2016-12-31,$69
2016-09-30,$44
2016-06-30,$19
2016-03-31,$5
2015-12-31,$88
2015-09-30,$111
2015-06-30,$98
2015-03-31,$83
2014-12-31,$91
2014-09-30,$93
2014-06-30,$92
2014-03-31,$80
2013-12-31,$100
2013-09-30,$110
2013-06-30,$61
2013-03-31,$105
2012-12-31,$69
2012-09-30,$77
2012-06-30,$60
2012-03-31,$68
2011-12-31,$97
2011-09-30,$63
2011-06-30,$59
2011-03-31,$75
2010-12-31,$61
2010-09-30,$64
2010-06-30,$45
2010-03-31,$37
2009-12-31,$-112
2009-09-30,$45
2009-06-30,$51
2009-03-31,$-192
