Biohaven Quarterly Net Income (Millions of US $),Biohaven Quarterly Net Income (Millions of US $).1
2024-06-30,$-320
2024-03-31,$-180
2023-12-31,$-145
2023-09-30,$-103
2023-06-30,$-90
2023-03-31,$-70
2022-12-31,$-201
2022-09-30,$-69
2022-06-30,$-203
2022-03-31,$-97
2021-12-31,$316
2021-09-30,$-54
2021-06-30,$-211
2021-03-31,$-265
2020-12-31,$430
2020-09-30,$-195
2020-06-30,$-181
2020-03-31,$-173
2019-12-31,$-149
2019-09-30,$-106
2019-06-30,$-211
2019-03-31,$-62
2018-12-31,$-55
2018-09-30,$-61
2018-06-30,$-39
2018-03-31,$-85
2017-12-31,$-27
2017-09-30,$-43
2017-06-30,$-46
2017-03-31,$-23
2016-12-31,$-26
2016-09-30,$-28
2016-06-30,$-7
2016-03-31,$-3
2015-12-31,
