Acadia Healthcare Quarterly Net Income (Millions of US $),Acadia Healthcare Quarterly Net Income (Millions of US $).1
2024-06-30,$78
2024-03-31,$76
2023-12-31,$58
2023-09-30,$-218
2023-06-30,$72
2023-03-31,$66
2022-12-31,$61
2022-09-30,$71
2022-06-30,$80
2022-03-31,$61
2021-12-31,$70
2021-09-30,$66
2021-06-30,$45
2021-03-31,$10
2020-12-31,$-784
2020-09-30,$37
2020-06-30,$41
2020-03-31,$33
2019-12-31,$-11
2019-09-30,$43
2019-06-30,$48
2019-03-31,$29
2018-12-31,$-332
2018-09-30,$46
2018-06-30,$59
2018-03-31,$51
2017-12-31,$70
2017-09-30,$46
2017-06-30,$50
2017-03-31,$35
2016-12-31,$42
2016-09-30,$-118
2016-06-30,$56
2016-03-31,$26
2015-12-31,$35
2015-09-30,$30
2015-06-30,$34
2015-03-31,$15
2014-12-31,$22
2014-09-30,$25
2014-06-30,$22
2014-03-31,$13
2013-12-31,$12
2013-09-30,$14
2013-06-30,$12
2013-03-31,$4
2012-12-31,$4
2012-09-30,$6
2012-06-30,$6
2012-03-31,$4
2011-12-31,$-16
2011-09-30,$3
2011-06-30,$-22
2011-03-31,$-0
2010-12-31,
2010-09-30,$2
2009-12-31,
