Takeda Pharmaceutical Quarterly Net Income (Millions of US $),Takeda Pharmaceutical Quarterly Net Income (Millions of US $).1
2024-06-30,$610
2024-03-31,$-46
2023-12-31,$719
2023-09-30,$-331
2023-06-30,$653
2023-03-31,$247
2022-12-31,$846
2022-09-30,$445
2022-06-30,$809
2022-03-31,$-703
2021-12-31,$508
2021-09-30,$418
2021-06-30,"$1,823"
2021-03-31,"$1,843"
2020-12-31,$887
2020-09-30,$38
2020-06-30,$767
2020-03-31,$391
2019-12-31,$-296
2019-09-30,$501
2019-06-30,$-188
2018-12-31,$336
2018-06-30,$720
2017-06-30,"$1,303"
2016-06-30,$926
2015-06-30,$202
2015-03-31,"$-1,892"
2014-12-31,$156
2014-09-30,$260
2014-06-30,$326
2014-03-31,$-43
2013-12-31,$457
2013-09-30,$360
2013-06-30,$296
2013-03-31,$462
2012-12-31,$236
2012-09-30,$409
2012-06-30,"$1,119"
2012-03-31,$-460
2011-12-31,$322
2011-09-30,$775
2011-03-31,$394
2010-03-31,$426
2009-09-30,$-1
2009-03-31,$705
