Roku Quarterly Net Income (Millions of US $),Roku Quarterly Net Income (Millions of US $).1
2024-06-30,$-34
2024-03-31,$-51
2023-12-31,$-78
2023-09-30,$-330
2023-06-30,$-108
2023-03-31,$-194
2022-12-31,$-237
2022-09-30,$-122
2022-06-30,$-112
2022-03-31,$-26
2021-12-31,$24
2021-09-30,$69
2021-06-30,$73
2021-03-31,$76
2020-12-31,$67
2020-09-30,$13
2020-06-30,$-43
2020-03-31,$-55
2019-12-31,$-16
2019-09-30,$-25
2019-06-30,$-9
2019-03-31,$-10
2018-12-31,$7
2018-09-30,$-10
2018-06-30,$1
2018-03-31,$-7
2017-12-31,$7
2017-09-30,$-46
2017-06-30,$-16
2017-03-31,$-9
2016-12-31,
2016-09-30,$-13
2015-12-31,
