MSC Industrial Direct Quarterly Net Income (Millions of US $),MSC Industrial Direct Quarterly Net Income (Millions of US $).1
2024-05-31,$72
2024-02-29,$62
2023-11-30,$69
2023-08-31,$88
2023-05-31,$95
2023-02-28,$79
2022-11-30,$81
2022-08-31,$104
2022-05-31,$100
2022-02-28,$70
2021-11-30,$66
2021-08-31,$66
2021-05-31,$94
2021-02-28,$18
2020-11-30,$38
2020-08-31,$52
2020-05-31,$78
2020-02-29,$56
2019-11-30,$65
2019-08-31,$67
2019-05-31,$80
2019-02-28,$68
2018-11-30,$74
2018-08-31,$73
2018-05-31,$79
2018-02-28,$118
2017-11-30,$60
2017-08-31,$61
2017-05-31,$63
2017-02-28,$54
2016-11-30,$54
2016-08-31,$62
2016-05-31,$65
2016-02-29,$50
2015-11-30,$55
2015-08-31,$60
2015-05-31,$63
2015-02-28,$52
2014-11-30,$56
2014-08-31,$62
2014-05-31,$64
2014-02-28,$49
2013-11-30,$59
2013-08-31,$56
2013-05-31,$62
2013-02-28,$56
2012-11-30,$63
2012-08-31,$68
2012-05-31,$70
2012-02-29,$60
2011-11-30,$59
2011-08-31,$59
2011-05-31,$62
2011-02-28,$49
2010-11-30,$47
2010-08-31,$44
2010-05-31,$44
2010-02-28,$30
2009-11-30,$31
2009-08-31,$26
2009-05-31,$28
2009-02-28,$26
