Teva Pharmaceutical Industries Quarterly Net Income (Millions of US $),Teva Pharmaceutical Industries Quarterly Net Income (Millions of US $).1
2024-06-30,$-846
2024-03-31,$-139
2023-12-31,$453
2023-09-30,$80
2023-06-30,$-872
2023-03-31,$-220
2022-12-31,"$-1,315"
2022-09-30,$56
2022-06-30,$-232
2022-03-31,$-955
2021-12-31,$-159
2021-09-30,$292
2021-06-30,$207
2021-03-31,$77
2020-12-31,$150
2020-09-30,"$-4,349"
2020-06-30,$140
2020-03-31,$69
2019-12-31,$109
2019-09-30,$-314
2019-06-30,$-689
2019-03-31,$-105
2018-12-31,"$-2,940"
2018-09-30,$-273
2018-06-30,$-241
2018-03-31,"$1,055"
2017-12-31,"$-11,600"
2017-09-30,$530
2017-06-30,"$-6,035"
2017-03-31,$580
2016-12-31,"$-1,038"
2016-09-30,$348
2016-06-30,$188
2016-03-31,$570
2015-12-31,$485
2015-09-30,$103
2015-06-30,$539
2015-03-31,$446
2014-12-31,$687
2014-09-30,$876
2014-06-30,$748
2014-03-31,$744
2013-12-31,$380
2013-09-30,$711
2013-06-30,$-452
2013-03-31,$630
2012-12-31,$320
2012-09-30,$-79
2012-06-30,$863
2012-03-31,$859
2011-12-31,$506
2011-09-30,$916
2011-06-30,$576
2011-03-31,$761
2010-12-31,$771
2010-09-30,"$1,050"
2010-06-30,$797
2010-03-31,$713
2009-12-31,$379
2009-09-30,$649
2009-06-30,$521
2009-03-31,$451
