Smith & Nephew SNATS Quarterly Net Income (Millions of US $),Smith & Nephew SNATS Quarterly Net Income (Millions of US $).1
2024-06-30,
2023-12-31,
2023-06-30,
2022-12-31,
2022-06-30,
2021-12-31,
2021-06-30,
2020-12-31,
2020-06-30,
2019-12-31,
2019-06-30,
2018-12-31,
2018-06-30,
2017-12-31,
2017-06-30,
2016-12-31,
2015-12-31,
2015-06-30,
2014-12-31,$160
2014-09-30,$102
2014-06-30,$89
2014-03-31,$150
2013-12-31,$162
2013-09-30,$122
2013-06-30,$129
2013-03-31,$143
2012-12-31,$142
2012-09-30,$134
2012-06-30,$292
2012-03-31,$161
2011-12-31,$140
2011-09-30,$133
2011-06-30,$153
2011-03-31,$156
2010-12-31,$182
2010-09-30,$137
2010-06-30,$137
2010-03-31,$159
2009-12-31,$128
2009-09-30,$128
2009-06-30,$118
2009-03-31,$98
