Corcept Therapeutics Quarterly Net Income (Millions of US $),Corcept Therapeutics Quarterly Net Income (Millions of US $).1
2024-06-30,$35
2024-03-31,$28
2023-12-31,$31
2023-09-30,$31
2023-06-30,$27
2023-03-31,$16
2022-12-31,$16
2022-09-30,$35
2022-06-30,$27
2022-03-31,$23
2021-12-31,$32
2021-09-30,$30
2021-06-30,$27
2021-03-31,$23
2020-12-31,$26
2020-09-30,$22
2020-06-30,$28
2020-03-31,$30
2019-12-31,$29
2019-09-30,$26
2019-06-30,$20
2019-03-31,$18
2018-12-31,$22
2018-09-30,$18
2018-06-30,$18
2018-03-31,$17
2017-12-31,$98
2017-09-30,$14
2017-06-30,$13
2017-03-31,$4
2016-12-31,$5
2016-09-30,$3
2016-06-30,$1
2016-03-31,$-0
2015-12-31,$1
2015-09-30,$-1
2015-06-30,$-2
2015-03-31,$-5
2014-12-31,$-4
2014-09-30,$-6
2014-06-30,$-8
2014-03-31,$-14
2013-12-31,$-11
2013-09-30,$-11
2013-06-30,$-12
2013-03-31,$-12
2012-12-31,$-11
2012-09-30,$-8
2012-06-30,$-8
2012-03-31,$-11
2011-12-31,$-10
2011-09-30,$-6
2011-06-30,$-9
2011-03-31,$-7
2010-12-31,$-7
2010-09-30,$-7
2010-06-30,$-6
2010-03-31,$-6
2009-12-31,$-5
2009-09-30,$-5
2009-06-30,$-5
2009-03-31,$-5
