BP Quarterly Net Income (Millions of US $),BP Quarterly Net Income (Millions of US $).1
2024-06-30,$-129
2024-03-31,"$2,273"
2023-12-31,$370
2023-09-30,"$4,858"
2023-06-30,"$1,792"
2023-03-31,"$8,218"
2022-12-31,"$10,803"
2022-09-30,"$-2,163"
2022-06-30,"$9,256"
2022-03-31,"$-20,384"
2021-12-31,"$2,325"
2021-09-30,"$-2,545"
2021-06-30,"$3,116"
2021-03-31,"$4,667"
2020-12-31,"$1,357"
2020-09-30,$-450
2020-06-30,"$-16,848"
2020-03-31,"$-4,365"
2019-12-31,$19
2019-09-30,$-749
2019-06-30,"$1,821"
2019-03-31,"$2,934"
2018-12-31,$766
2018-09-30,"$3,349"
2018-06-30,"$2,798"
2018-03-31,"$2,469"
2017-12-31,$26
2017-09-30,"$1,769"
2017-06-30,$144
2017-03-31,"$1,449"
2016-12-31,$496
2016-09-30,"$1,620"
2016-06-30,"$-1,419"
2016-03-31,$-583
2015-12-31,"$-3,308"
2015-09-30,$46
2015-06-30,"$-5,824"
2015-03-31,"$2,602"
2014-12-31,"$-4,409"
2014-09-30,"$1,290"
2014-06-30,"$3,369"
2014-03-31,"$3,528"
2013-12-31,"$1,043"
2013-09-30,"$3,504"
2013-06-30,"$2,041"
2013-03-31,"$16,863"
2012-12-31,"$1,487"
2012-09-30,"$5,281"
2012-06-30,"$-1,520"
2012-03-31,"$5,767"
2011-12-31,"$7,685"
2011-09-30,"$5,043"
2011-06-30,"$5,717"
2011-03-31,"$7,254"
2010-12-31,"$5,566"
2010-09-30,"$1,785"
2010-06-30,"$-17,151"
2010-03-31,"$6,079"
2009-12-31,"$4,294"
2009-09-30,"$5,336"
2009-06-30,"$4,384"
2009-03-31,"$2,562"
