Sanofi Quarterly Net Income (Millions of US $),Sanofi Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,199"
2024-03-31,"$1,230"
2023-12-31,$-610
2023-09-30,"$2,748"
2023-06-30,"$1,565"
2023-03-31,"$2,141"
2022-12-31,"$3,224"
2022-09-30,"$2,091"
2022-06-30,"$1,250"
2022-03-31,"$2,255"
2021-09-30,"$2,732"
2021-06-30,
2021-03-31,"$1,888"
2020-09-30,"$2,282"
2020-03-31,"$1,857"
2019-09-30,"$1,964"
2019-03-31,"$1,291"
2018-03-31,"$1,249"
2017-12-31,$475
2017-09-30,"$1,842"
2017-06-30,"$1,141"
2017-03-31,"$6,076"
2016-12-31,$836
2016-09-30,"$1,868"
2016-06-30,"$1,308"
2016-03-31,"$1,199"
2015-09-30,"$1,811"
2015-06-30,"$1,440"
2014-06-30,"$1,066"
2013-06-30,$580
2012-06-30,"$1,505"
2012-03-31,"$2,414"
2011-12-31,"$1,887"
2011-09-30,"$2,803"
2011-06-30,"$1,453"
2011-03-31,"$3,187"
2010-12-31,$595
2010-09-30,"$2,219"
2010-06-30,"$2,219"
2010-03-31,"$3,204"
2009-12-31,"$1,658"
2009-09-30,"$3,290"
2009-06-30,"$3,227"
2009-03-31,"$2,817"
