Selective Insurance Quarterly Net Income (Millions of US $),Selective Insurance Quarterly Net Income (Millions of US $).1
2024-06-30,$-66
2024-03-31,$80
2023-12-31,$123
2023-09-30,$87
2023-06-30,$56
2023-03-31,$90
2022-12-31,$84
2022-09-30,$40
2022-06-30,$37
2022-03-31,$54
2021-12-31,$97
2021-09-30,$71
2021-06-30,$120
2021-03-31,$107
2020-12-31,$127
2020-09-30,$70
2020-06-30,$34
2020-03-31,$15
2019-12-31,$82
2019-09-30,$56
2019-06-30,$72
2019-03-31,$61
2018-12-31,$46
2018-09-30,$55
2018-06-30,$59
2018-03-31,$19
2017-12-31,$30
2017-09-30,$47
2017-06-30,$41
2017-03-31,$50
2016-12-31,$39
2016-09-30,$39
2016-06-30,$44
2016-03-31,$37
2015-12-31,$45
2015-09-30,$47
2015-06-30,$34
2015-03-31,$40
2014-12-31,$41
2014-09-30,$53
2014-06-30,$29
2014-03-31,$18
2013-12-31,$25
2013-09-30,$33
2013-06-30,$27
2013-03-31,$21
2012-12-31,$1
2012-09-30,$18
2012-06-30,$0
2012-03-31,$18
2011-12-31,$18
2011-09-30,$-18
2011-06-30,$1
2011-03-31,$21
2010-12-31,$25
2010-09-30,$17
2010-06-30,$19
2010-03-31,$6
2009-12-31,$21
2009-09-30,$13
2009-06-30,$16
2009-03-31,$-13
