Prestige Consumer Healthcare Quarterly Net Income (Millions of US $),Prestige Consumer Healthcare Quarterly Net Income (Millions of US $).1
2024-06-30,$49
2024-03-31,$49
2023-12-31,$53
2023-09-30,$54
2023-06-30,$53
2023-03-31,$-241
2022-12-31,$52
2022-09-30,$51
2022-06-30,$55
2022-03-31,$52
2021-12-31,$50
2021-09-30,$45
2021-06-30,$58
2021-03-31,$36
2020-12-31,$41
2020-09-30,$45
2020-06-30,$44
2020-03-31,$37
2019-12-31,$38
2019-09-30,$33
2019-06-30,$34
2019-03-31,$-139
2018-12-31,$38
2018-09-30,$31
2018-06-30,$34
2018-03-31,$-40
2017-12-31,$315
2017-09-30,$31
2017-06-30,$34
2017-03-31,$11
2016-12-31,$32
2016-09-30,$32
2016-06-30,$-6
2016-03-31,$14
2015-12-31,$28
2015-09-30,$32
2015-06-30,$26
2015-03-31,$24
2014-12-31,$21
2014-09-30,$16
2014-06-30,$17
2014-03-31,$16
2013-12-31,$3
2013-09-30,$33
2013-06-30,$21
2013-03-31,$19
2012-12-31,$12
2012-09-30,$19
2012-06-30,$15
2012-03-31,$-0
2011-12-31,$10
2011-09-30,$13
2011-06-30,$15
2011-03-31,$6
2010-12-31,$2
2010-09-30,$11
2010-06-30,$10
2010-03-31,$3
2009-12-31,$11
2009-09-30,$10
2009-06-30,$8
2009-03-31,$-211
