Option Care Health Quarterly Net Income (Millions of US $),Option Care Health Quarterly Net Income (Millions of US $).1
2024-06-30,$53
2024-03-31,$45
2023-12-31,$57
2023-09-30,$56
2023-06-30,$114
2023-03-31,$39
2022-12-31,$48
2022-09-30,$39
2022-06-30,$34
2022-03-31,$30
2021-12-31,$75
2021-09-30,$35
2021-06-30,$32
2021-03-31,$-3
2020-12-31,$18
2020-09-30,$2
2020-06-30,$-8
2020-03-31,$-20
2019-12-31,$-16
2019-09-30,$-43
2019-06-30,$-14
2019-03-31,$-4
2018-12-31,$26
2018-09-30,$2
2018-06-30,$-18
2018-03-31,$-16
2017-12-31,$74
2017-09-30,$-16
2017-06-30,$-32
2017-03-31,$-22
2016-12-31,$-16
2016-09-30,$-14
2016-06-30,$-10
2016-03-31,$-12
2015-12-31,$-21
2015-09-30,$-19
2015-06-30,$-249
2015-03-31,$-21
2014-12-31,$-64
2014-09-30,$-39
2014-06-30,$-20
2014-03-31,$-25
2013-12-31,$-19
2013-09-30,$-34
2013-06-30,$-9
2013-03-31,$-8
2012-12-31,$7
2012-09-30,$-12
2012-06-30,$72
2012-03-31,$-3
2011-12-31,$7
2011-09-30,$1
2011-06-30,$-2
2011-03-31,$3
2010-12-31,$-67
2010-09-30,$2
2010-06-30,$3
2010-03-31,$-7
2009-12-31,$41
2009-09-30,$6
2009-06-30,$4
2009-03-31,$3
