Carvana Quarterly Net Income (Millions of US $),Carvana Quarterly Net Income (Millions of US $).1
2024-06-30,$18
2024-03-31,$28
2023-12-31,$-114
2023-09-30,$782
2023-06-30,$-58
2023-03-31,$-160
2022-12-31,$-806
2022-09-30,$-283
2022-06-30,$-238
2022-03-31,$-260
2021-12-31,$-89
2021-09-30,$-32
2021-06-30,$22
2021-03-31,$-36
2020-12-31,$-63
2020-09-30,$-7
2020-06-30,$-41
2020-03-31,$-60
2019-12-31,$-41
2019-09-30,$-30
2019-06-30,$-20
2019-03-31,$-23
2018-12-31,$-23
2018-09-30,$-17
2018-06-30,$-11
2018-03-31,$-10
2017-12-31,$-7
2017-09-30,$-4
2017-06-30,$-15
2017-03-31,$-38
2016-12-31,$-36
2016-09-30,$-22
2016-06-30,$-18
2016-03-31,$-19
2015-12-31,
2014-12-31,
