Unilever Quarterly Net Income (Millions of US $),Unilever Quarterly Net Income (Millions of US $).1
2024-06-30,
2023-12-31,
2023-06-30,
2022-12-31,
2022-06-30,
2021-12-31,
2021-06-30,
2020-12-31,
2020-06-30,
2019-12-31,
2019-06-30,
2018-12-31,
2018-06-30,
2017-12-31,
2017-06-30,
2016-12-31,
2016-06-30,
2015-12-31,
2015-06-30,
2014-12-31,
2014-06-30,
2013-12-31,
2013-06-30,
2012-12-31,
2012-06-30,
2011-12-31,
2011-06-30,
2010-12-31,"$1,320"
2010-09-30,"$1,738"
2010-06-30,"$1,473"
2010-03-31,"$1,283"
2009-12-31,"$1,338"
2009-09-30,"$1,650"
2009-06-30,"$1,200"
2009-03-31,"$1,068"
