Wheaton Precious Metals Quarterly Net Income (Millions of US $),Wheaton Precious Metals Quarterly Net Income (Millions of US $).1
2024-06-30,$122
2024-03-31,$164
2023-12-31,$168
2023-09-30,$116
2023-06-30,$141
2023-03-31,$111
2022-12-31,$166
2022-09-30,$196
2022-06-30,$149
2022-03-31,$157
2021-12-31,$292
2021-09-30,$135
2021-06-30,$166
2021-03-31,$162
2020-12-31,$157
2020-09-30,$150
2020-06-30,$106
2020-03-31,$95
2019-12-31,$78
2019-09-30,$76
2019-06-30,$-125
2019-03-31,$57
2018-12-31,$7
2018-09-30,$34
2018-06-30,$318
2018-03-31,$68
2017-12-31,$-138
2017-09-30,$67
2017-06-30,$68
2017-03-31,$61
2016-12-31,$11
2016-09-30,$83
2016-06-30,$60
2016-03-31,$41
2015-12-31,$-169
2015-09-30,$-96
2015-06-30,$54
2015-03-31,$49
2014-12-31,$52
2014-09-30,$4
2014-06-30,$63
2014-03-31,$80
2013-12-31,$94
2013-09-30,$77
2013-06-30,$71
2013-03-31,$133
2012-12-31,$178
2012-09-30,$120
2012-06-30,$141
2012-03-31,$147
2011-12-31,$145
2011-09-30,$135
2011-06-30,$148
2011-03-31,$122
2010-12-31,$123
2010-09-30,$69
2010-06-30,$53
2010-03-31,$45
2009-12-31,$51
2009-09-30,$34
2009-06-30,$18
2009-03-31,$15
