Pinterest Quarterly Net Income (Millions of US $),Pinterest Quarterly Net Income (Millions of US $).1
2024-06-30,$9
2024-03-31,$-25
2023-12-31,$201
2023-09-30,$7
2023-06-30,$-35
2023-03-31,$-209
2022-12-31,$17
2022-09-30,$-65
2022-06-30,$-43
2022-03-31,$-5
2021-12-31,$175
2021-09-30,$94
2021-06-30,$69
2021-03-31,$-22
2020-12-31,$208
2020-09-30,$-94
2020-06-30,$-101
2020-03-31,$-141
2019-12-31,$-36
2019-09-30,$-125
2019-06-30,"$-1,160"
2019-03-31,$-41
2018-12-31,$47
2018-09-30,$-19
2018-06-30,$-38
2018-03-31,$-53
2017-12-31,
