Shinhan Financial Group Co Quarterly Net Income (Millions of US $),Shinhan Financial Group Co Quarterly Net Income (Millions of US $).1
2024-06-30,$998
2024-03-31,"$1,029"
2023-12-31,$402
2023-09-30,$913
2023-06-30,$955
2023-03-31,"$1,072"
2022-12-31,$-73
2022-09-30,"$1,065"
2022-06-30,"$1,028"
2022-03-31,"$1,120"
2021-12-31,$468
2021-09-30,$863
2021-06-30,"$1,109"
2021-03-31,"$1,073"
2020-12-31,$395
2020-09-30,$892
2020-06-30,$698
2020-03-31,$746
2019-12-31,$198
2019-09-30,$785
2019-06-30,$880
2019-03-31,$810
2018-12-31,$477
2018-09-30,$752
2018-06-30,$839
2018-03-31,$768
2017-12-31,$136
2017-09-30,$733
2017-06-30,$799
2017-03-31,$897
2016-12-31,$-116
2016-09-30,$628
2016-06-30,$588
2016-03-31,"$1,347"
2015-12-31,$364
2015-09-30,$611
2015-06-30,$623
2015-03-31,$533
2014-12-31,$282
2014-09-30,$575
2014-06-30,$560
2014-03-31,$503
2013-12-31,$316
2013-09-30,$471
2013-06-30,$500
2013-03-31,$448
2012-12-31,$392
2012-09-30,$469
2012-06-30,$549
2012-03-31,$568
2011-12-31,$383
2011-09-30,$655
2011-06-30,$925
2011-03-31,$823
2010-12-31,"$2,700"
2010-09-30,$-43
2010-06-30,$11
2010-03-31,$624
2009-12-31,
