Credit Acceptance Quarterly Net Income (Millions of US $),Credit Acceptance Quarterly Net Income (Millions of US $).1
2024-06-30,$-47
2024-03-31,$64
2023-12-31,$94
2023-09-30,$71
2023-06-30,$22
2023-03-31,$100
2022-12-31,$127
2022-09-30,$87
2022-06-30,$107
2022-03-31,$214
2021-12-31,$218
2021-09-30,$250
2021-06-30,$289
2021-03-31,$202
2020-12-31,$166
2020-09-30,$242
2020-06-30,$96
2020-03-31,$-84
2019-12-31,$162
2019-09-30,$165
2019-06-30,$164
2019-03-31,$164
2018-12-31,$152
2018-09-30,$151
2018-06-30,$151
2018-03-31,$120
2017-12-31,$177
2017-09-30,$101
2017-06-30,$99
2017-03-31,$93
2016-12-31,$88
2016-09-30,$86
2016-06-30,$85
2016-03-31,$74
2015-12-31,$80
2015-09-30,$74
2015-06-30,$74
2015-03-31,$72
2014-12-31,$73
2014-09-30,$74
2014-06-30,$69
2014-03-31,$50
2013-12-31,$66
2013-09-30,$65
2013-06-30,$62
2013-03-31,$61
2012-12-31,$60
2012-09-30,$53
2012-06-30,$57
2012-03-31,$50
2011-12-31,$50
2011-09-30,$50
2011-06-30,$45
2011-03-31,$43
2010-12-31,$47
2010-09-30,$42
2010-06-30,$49
2010-03-31,$32
2009-12-31,$40
2009-09-30,$41
2009-06-30,$36
2009-03-31,$29
