Crinetics Pharmaceuticals Quarterly Net Income (Millions of US $),Crinetics Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-06-30,$-74
2024-03-31,$-67
2023-12-31,$-60
2023-09-30,$-57
2023-06-30,$-51
2023-03-31,$-46
2022-12-31,$-45
2022-09-30,$-42
2022-06-30,$-42
2022-03-31,$-35
2021-12-31,$-31
2021-09-30,$-28
2021-06-30,$-26
2021-03-31,$-23
2020-12-31,$-22
2020-09-30,$-18
2020-06-30,$-16
2020-03-31,$-17
2019-12-31,$-15
2019-09-30,$-14
2019-06-30,$-12
2019-03-31,$-9
2018-12-31,$-8
2018-09-30,$-8
2018-06-30,$-6
2018-03-31,$-5
2017-12-31,$-3
2017-09-30,$-2
2017-06-30,$-2
2017-03-31,$-3
2016-12-31,
