Kinsale Capital Quarterly Net Income (Millions of US $),Kinsale Capital Quarterly Net Income (Millions of US $).1
2024-06-30,$93
2024-03-31,$99
2023-12-31,$103
2023-09-30,$76
2023-06-30,$73
2023-03-31,$56
2022-12-31,$67
2022-09-30,$33
2022-06-30,$27
2022-03-31,$32
2021-12-31,$48
2021-09-30,$37
2021-06-30,$36
2021-03-31,$32
2020-12-31,$38
2020-09-30,$15
2020-06-30,$30
2020-03-31,$5
2019-12-31,$18
2019-09-30,$13
2019-06-30,$14
2019-03-31,$19
2018-12-31,$4
2018-09-30,$12
2018-06-30,$10
2018-03-31,$7
2017-12-31,$6
2017-09-30,$4
2017-06-30,$8
2017-03-31,$6
2016-12-31,$7
2016-09-30,$8
2016-06-30,$6
2016-03-31,$5
2015-12-31,$5
2015-09-30,$6
2015-06-30,$7
2015-03-31,$5
2014-12-31,
2013-12-31,
