Fresenius Medical Care AG KGaA Quarterly Net Income (Millions of US $),Fresenius Medical Care AG KGaA Quarterly Net Income (Millions of US $).1
2024-06-30,$201
2024-03-31,$77
2023-12-31,$203
2023-09-30,$92
2023-06-30,$153
2023-03-31,$93
2022-12-31,$145
2022-09-30,$232
2022-06-30,$157
2022-03-31,$177
2021-12-31,$261
2021-09-30,$322
2021-06-30,$263
2021-03-31,$300
2020-12-31,$218
2020-09-30,$413
2020-06-30,$386
2020-03-31,$312
2019-12-31,$381
2019-09-30,$370
2019-06-30,$285
2019-03-31,$308
2018-12-31,$482
2018-09-30,$331
2018-06-30,"$1,185"
2018-03-31,$342
2017-12-31,$459
2017-09-30,$363
2017-06-30,$296
2017-03-31,$328
2016-12-31,$388
2016-09-30,$333
2016-06-30,$294
2016-03-31,$228
2015-12-31,$317
2015-09-30,$262
2015-06-30,$241
2015-03-31,$210
2014-12-31,$335
2014-09-30,$271
2014-06-30,$234
2014-03-31,$205
2013-12-31,$349
2013-09-30,$273
2013-06-30,$263
2013-03-31,$225
2012-12-31,$257
2012-09-30,$270
2012-06-30,$289
2012-03-31,$370
2011-12-31,$310
2011-09-30,$279
2011-06-30,$261
2011-03-31,$221
2010-12-31,$271
2010-09-30,$248
2010-06-30,$248
2010-03-31,$211
2009-12-31,$247
2009-09-30,$225
2009-06-30,$221
2009-03-31,$198
