Select Medical Holdings Quarterly Net Income (Millions of US $),Select Medical Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$78
2024-03-31,$97
2023-12-31,$46
2023-09-30,$48
2023-06-30,$78
2023-03-31,$71
2022-12-31,$28
2022-09-30,$27
2022-06-30,$55
2022-03-31,$49
2021-12-31,$50
2021-09-30,$77
2021-06-30,$165
2021-03-31,$111
2020-12-31,$79
2020-09-30,$77
2020-06-30,$50
2020-03-31,$53
2019-12-31,$33
2019-09-30,$30
2019-06-30,$45
2019-03-31,$41
2018-12-31,$25
2018-09-30,$33
2018-06-30,$47
2018-03-31,$34
2017-12-31,$101
2017-09-30,$18
2017-06-30,$42
2017-03-31,$16
2016-12-31,$20
2016-09-30,$6
2016-06-30,$34
2016-03-31,$55
2015-12-31,$30
2015-09-30,$29
2015-06-30,$37
2015-03-31,$34
2014-12-31,$27
2014-09-30,$27
2014-06-30,$34
2014-03-31,$32
2013-12-31,$28
2013-09-30,$23
2013-06-30,$27
2013-03-31,$34
2012-12-31,$39
2012-09-30,$24
2012-06-30,$42
2012-03-31,$41
2011-12-31,$36
2011-09-30,$25
2011-06-30,$12
2011-03-31,$33
2010-12-31,$21
2010-09-30,$8
2010-06-30,$24
2010-03-31,$24
2009-12-31,$29
2009-09-30,$-6
2009-06-30,$13
2009-03-31,$17
