Globus Medical Quarterly Net Income (Millions of US $),Globus Medical Quarterly Net Income (Millions of US $).1
2024-06-30,$32
2024-03-31,$-7
2023-12-31,$15
2023-09-30,$1
2023-06-30,$58
2023-03-31,$49
2022-12-31,$50
2022-09-30,$47
2022-06-30,$55
2022-03-31,$38
2021-12-31,$15
2021-09-30,$47
2021-06-30,$42
2021-03-31,$45
2020-12-31,$53
2020-09-30,$44
2020-06-30,$-21
2020-03-31,$26
2019-12-31,$46
2019-09-30,$38
2019-06-30,$38
2019-03-31,$33
2018-12-31,$37
2018-09-30,$35
2018-06-30,$45
2018-03-31,$40
2017-12-31,$24
2017-09-30,$26
2017-06-30,$29
2017-03-31,$29
2016-12-31,$24
2016-09-30,$26
2016-06-30,$26
2016-03-31,$28
2015-12-31,$38
2015-09-30,$26
2015-06-30,$24
2015-03-31,$25
2014-12-31,$28
2014-09-30,$23
2014-06-30,$21
2014-03-31,$21
2013-12-31,$21
2013-09-30,$20
2013-06-30,$7
2013-03-31,$20
2012-12-31,$21
2012-09-30,$16
2012-06-30,$19
2012-03-31,$18
2011-12-31,$14
2011-09-30,$17
2011-06-30,$13
2011-03-31,$12
2010-12-31,
2009-12-31,
