Manulife Financial Corp Quarterly Net Income (Millions of US $),Manulife Financial Corp Quarterly Net Income (Millions of US $).1
2024-06-30,$689
2024-03-31,$601
2023-12-31,"$1,112"
2023-09-30,$715
2023-06-30,$690
2023-03-31,"$1,039"
2022-12-31,"$1,263"
2022-09-30,$993
2022-06-30,$850
2022-03-31,"$2,304"
2021-12-31,"$1,546"
2021-09-30,"$1,265"
2021-06-30,"$2,102"
2021-03-31,$584
2020-12-31,"$1,274"
2020-09-30,"$1,521"
2020-06-30,$494
2020-03-31,$966
2019-12-31,$869
2019-09-30,$515
2019-06-30,"$1,103"
2019-03-31,"$1,605"
2018-12-31,$369
2018-09-30,"$1,172"
2018-06-30,$978
2018-03-31,"$1,055"
2017-12-31,"$-1,244"
2017-09-30,$851
2017-06-30,$904
2017-03-31,$989
2016-12-31,$-53
2016-09-30,$857
2016-06-30,$546
2016-03-31,$762
2015-12-31,$184
2015-09-30,$476
2015-06-30,$488
2015-03-31,$601
2014-12-31,$508
2014-09-30,$971
2014-06-30,$861
2014-03-31,$745
2013-12-31,"$1,179"
2013-09-30,$990
2013-06-30,$249
2013-03-31,$536
2012-12-31,"$1,085"
2012-09-30,$-227
2012-06-30,$-301
2012-03-31,"$1,220"
2011-12-31,$-69
2011-09-30,"$-1,306"
2011-06-30,$498
2011-03-31,$944
2010-12-31,"$1,804"
2010-09-30,$-947
2010-06-30,"$-2,326"
2010-03-31,"$1,140"
2009-12-31,$814
2009-09-30,$-130
2009-06-30,"$1,648"
2009-03-31,$-818
