Sun Life Financial Quarterly Net Income (Millions of US $),Sun Life Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$472
2024-03-31,$606
2023-12-31,$550
2023-09-30,$649
2023-06-30,$491
2023-03-31,$596
2022-12-31,$704
2022-09-30,$357
2022-06-30,$615
2022-03-31,$677
2021-12-31,$857
2021-09-30,$809
2021-06-30,$733
2021-03-31,$740
2020-12-31,$566
2020-09-30,$563
2020-06-30,$374
2020-03-31,$292
2019-12-31,$543
2019-09-30,$516
2019-06-30,$445
2019-03-31,$469
2018-12-31,$435
2018-09-30,$434
2018-06-30,$547
2018-03-31,$529
2017-12-31,$163
2017-09-30,$652
2017-06-30,$427
2017-03-31,$416
2016-12-31,$545
2016-09-30,$565
2016-06-30,$372
2016-03-31,$394
2015-12-31,$420
2015-09-30,$387
2015-06-30,$612
2015-03-31,$385
2014-12-31,$427
2014-09-30,$405
2014-06-30,$417
2014-03-31,$392
2013-12-31,$550
2013-09-30,$-470
2013-06-30,$412
2013-03-31,$510
2012-12-31,$394
2012-09-30,$414
2012-06-30,$81
2012-03-31,$714
2011-12-31,$-499
2011-09-30,$-589
2011-06-30,$450
2011-03-31,$461
2010-12-31,$540
2010-09-30,$460
2010-06-30,$229
2010-03-31,$413
2009-12-31,$297
2009-09-30,$-110
2009-06-30,$567
2009-03-31,$-181
