Encompass Health Quarterly Net Income (Millions of US $),Encompass Health Quarterly Net Income (Millions of US $).1
2024-06-30,$114
2024-03-31,$113
2023-12-31,$88
2023-09-30,$85
2023-06-30,$91
2023-03-31,$88
2022-12-31,$89
2022-09-30,$45
2022-06-30,$49
2022-03-31,$88
2021-12-31,$92
2021-09-30,$100
2021-06-30,$113
2021-03-31,$107
2020-12-31,$86
2020-09-30,$78
2020-06-30,$34
2020-03-31,$87
2019-12-31,$68
2019-09-30,$97
2019-06-30,$91
2019-03-31,$102
2018-12-31,$28
2018-09-30,$89
2018-06-30,$92
2018-03-31,$84
2017-12-31,$75
2017-09-30,$66
2017-06-30,$63
2017-03-31,$67
2016-12-31,$65
2016-09-30,$62
2016-06-30,$63
2016-03-31,$58
2015-12-31,$47
2015-09-30,$51
2015-06-30,$43
2015-03-31,$41
2014-12-31,$41
2014-09-30,$49
2014-06-30,$82
2014-03-31,$45
2013-12-31,$-27
2013-09-30,$53
2013-06-30,$159
2013-03-31,$46
2012-12-31,$42
2012-09-30,$41
2012-06-30,$40
2012-03-31,$37
2011-12-31,$44
2011-09-30,$51
2011-06-30,$15
2011-03-31,$73
2010-12-31,$773
2010-09-30,$25
2010-06-30,$41
2010-03-31,$34
2009-12-31,$32
2009-09-30,$10
2009-06-30,$-12
2009-03-31,$38
