GSK Quarterly Net Income (Millions of US $),GSK Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,480"
2024-03-31,"$1,326"
2023-12-31,$433
2023-09-30,"$1,853"
2023-06-30,"$2,033"
2023-03-31,"$1,810"
2022-12-31,"$2,880"
2022-09-30,"$12,149"
2022-06-30,"$1,052"
2022-03-31,"$2,418"
2021-12-31,$990
2021-09-30,"$1,611"
2021-06-30,"$1,950"
2021-03-31,"$1,480"
2020-12-31,$962
2020-09-30,"$1,607"
2020-06-30,"$2,808"
2020-03-31,"$2,005"
2019-12-31,"$1,697"
2019-09-30,"$1,914"
2019-06-30,"$1,239"
2019-03-31,"$1,081"
2018-12-31,"$1,325"
2018-09-30,"$1,848"
2018-06-30,$600
2018-03-31,"$1,063"
2017-12-31,$-678
2017-09-30,"$1,587"
2017-06-30,$-230
2017-03-31,"$1,296"
2016-12-31,$319
2016-09-30,"$1,061"
2016-06-30,$-624
2016-03-31,$404
2015-12-31,$-541
2015-09-30,$834
2015-06-30,$228
2015-03-31,"$12,248"
2014-12-31,"$1,556"
2014-09-30,$648
2014-06-30,"$1,114"
2014-03-31,"$1,123"
2013-12-31,"$3,924"
2013-09-30,"$1,566"
2013-06-30,"$1,605"
2013-03-31,"$1,466"
2012-12-31,"$1,370"
2012-09-30,"$1,807"
2012-06-30,"$1,981"
2012-03-31,"$2,139"
2011-12-31,"$1,972"
2011-09-30,"$2,191"
2011-06-30,"$1,802"
2011-03-31,"$2,442"
2010-12-31,"$-1,116"
2010-09-30,"$2,082"
2010-06-30,$-427
2010-03-31,"$2,056"
2009-12-31,"$2,724"
2009-09-30,"$2,251"
2009-06-30,"$2,262"
2009-03-31,"$1,681"
