Exxon PE Ratio Historical Data,Exxon PE Ratio Historical Data,Exxon PE Ratio Historical Data,Exxon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,117.94,,14.31
2024-06-30,114.21,$8.24,13.86
2023-12-31,97.48,$8.89,10.96
2023-09-30,113.6,$10.07,11.28
2023-06-30,102.76,$9.88,10.4
2023-03-31,104.16,$12.62,8.25
2022-12-31,103.97,$14.04,7.41
2024-03-31,114.39,$12.23,9.35
2022-09-30,81.64,$12.25,6.66
2022-06-30,79.33,$9.14,8.68
2022-03-31,75.74,$6.03,12.56
2021-12-31,55.49,$5.39,10.3
2021-09-30,52.62,$-1.39,0.0
2021-06-30,55.59,$-3.11,0.0
2021-03-31,48.5,$-4.47,0.0
2020-12-31,35.2,$-5.25,0.0
2020-09-30,28.64,$0.78,36.72
2020-06-30,36.59,$1.68,21.78
2020-03-31,30.47,$2.67,11.41
2019-12-31,55.19,$3.36,16.42
2019-09-30,55.17,$3.44,16.04
2019-06-30,59.13,$4.15,14.25
2019-03-31,61.65,$4.34,14.2
2018-12-31,51.46,$4.88,10.54
2018-09-30,63.51,$5.44,11.67
2018-06-30,61.17,$4.91,12.46
2018-03-31,54.61,$4.77,11.45
2017-12-31,60.61,$4.63,13.09
2017-09-30,58.86,$3.07,19.17
2017-06-30,57.4,$2.77,20.72
2017-03-31,57.77,$2.40,24.07
2016-12-31,63.0,$1.88,33.51
2016-09-30,60.39,$2.14,28.22
2016-06-30,64.3,$2.52,25.52
2016-03-31,56.86,$3.11,18.28
2015-12-31,52.54,$3.85,13.65
2015-09-30,49.67,$4.74,10.48
2015-06-30,55.07,$5.62,9.8
2015-03-31,55.79,$6.67,8.36
2014-12-31,60.23,$7.60,7.92
2014-09-30,60.83,$7.95,7.65
2014-06-30,64.67,$7.85,8.24
2014-03-31,62.32,$7.35,8.48
2013-12-31,64.12,$7.37,8.7
2013-09-30,54.14,$7.66,7.07
2013-06-30,56.46,$7.96,7.09
2013-03-31,55.92,$9.82,5.69
2012-12-31,53.37,$9.70,5.5
2012-09-30,56.03,$9.47,5.92
2012-06-30,52.09,$9.51,5.48
2012-03-31,52.44,$8.28,6.33
2011-12-31,50.96,$8.42,6.05
2011-09-30,43.41,$8.30,5.23
2011-06-30,48.31,$7.61,6.35
2011-03-31,49.66,$7.03,7.06
2010-12-31,42.93,$6.22,6.9
2010-09-30,36.05,$5.64,6.39
2010-06-30,33.06,$5.18,6.38
2010-03-31,38.54,$4.39,8.78
2009-12-31,38.98,$3.98,9.79
