W.W Grainger PE Ratio Historical Data,W.W Grainger PE Ratio Historical Data,W.W Grainger PE Ratio Historical Data,W.W Grainger PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,984.92,,27.28
2024-06-30,900.32,$36.11,24.93
2023-12-31,823.56,$36.21,22.74
2023-09-30,685.95,$35.86,19.13
2023-06-30,779.84,$36.05,21.63
2023-03-31,679.3,$35.04,19.39
2022-12-31,547.13,$32.62,16.77
2024-03-31,1012.96,$32.15,31.51
2022-09-30,479.82,$27.97,17.15
2022-06-30,444.35,$25.35,17.53
2022-03-31,502.54,$22.43,22.4
2021-12-31,503.18,$19.84,25.36
2021-09-30,380.34,$17.52,21.71
2021-06-30,422.26,$16.28,25.94
2021-03-31,385.18,$14.11,27.3
2020-12-31,390.68,$12.82,30.47
2020-09-30,340.01,$11.58,29.36
2020-06-30,298.09,$11.42,26.1
2020-03-31,234.61,$13.99,16.77
2019-12-31,318.07,$15.28,20.82
2019-09-30,277.95,$17.08,16.27
2019-06-30,249.56,$14.65,17.03
2019-03-31,278.48,$14.14,19.69
2018-12-31,260.12,$13.73,18.95
2018-09-30,327.74,$12.68,25.85
2018-06-30,281.71,$13.65,20.64
2018-03-31,256.66,$11.16,23.0
2017-12-31,213.79,$10.02,21.34
2017-09-30,161.65,$8.40,19.24
2017-06-30,161.09,$8.66,18.6
2017-03-31,206.28,$9.78,21.09
2016-12-31,204.84,$9.83,20.84
2016-09-30,197.22,$11.12,17.74
2016-06-30,198.22,$10.99,18.04
2016-03-31,202.55,$11.45,17.69
2015-12-31,174.81,$11.54,15.15
2015-09-30,184.5,$11.38,16.21
2015-06-30,202.02,$11.76,17.18
2015-03-31,200.35,$11.45,17.5
2014-12-31,215.59,$11.45,18.83
2014-09-30,211.95,$11.51,18.41
2014-06-30,213.17,$11.16,19.1
2014-03-31,210.92,$11.25,18.75
2013-12-31,212.38,$11.12,19.1
2013-09-30,216.86,$11.09,19.55
2013-06-30,208.23,$10.29,20.24
2013-03-31,185.08,$9.89,18.71
2012-12-31,165.87,$9.52,17.42
2012-09-30,170.1,$9.39,18.11
2012-06-30,155.51,$9.75,15.95
2012-03-31,173.99,$9.46,18.39
2011-12-31,151.12,$9.07,16.66
2011-09-30,120.27,$8.86,13.57
2011-06-30,122.98,$8.41,14.62
2011-03-31,109.7,$7.80,14.06
2010-12-31,109.61,$6.93,15.82
2010-09-30,94.13,$6.37,14.78
2010-06-30,78.22,$6.19,12.64
2010-03-31,84.61,$5.67,14.92
2009-12-31,75.43,$5.61,13.44
