EPAM Systems PE Ratio Historical Data,EPAM Systems PE Ratio Historical Data,EPAM Systems PE Ratio Historical Data,EPAM Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,200.76,,28.76
2024-06-30,188.11,$6.98,26.95
2024-03-31,276.16,$7.31,37.78
2023-12-31,297.34,$7.07,42.06
2023-09-30,255.69,$8.02,31.88
2023-06-30,224.75,$9.00,24.97
2023-03-31,299.0,$7.29,41.02
2022-12-31,327.74,$7.08,46.29
2022-09-30,362.19,$6.87,52.72
2022-06-30,294.78,$6.19,47.62
2022-03-31,296.61,$7.81,37.98
2021-12-31,668.45,$8.15,82.02
2021-09-30,570.48,$7.21,79.12
2021-06-30,510.96,$6.79,75.25
2021-03-31,396.69,$5.99,66.23
2020-12-31,358.35,$5.60,63.99
2020-09-30,323.28,$5.43,59.54
2020-06-30,252.01,$5.06,49.8
2020-03-31,185.66,$4.94,37.58
2019-12-31,212.16,$4.53,46.83
2019-09-30,182.32,$4.29,42.5
2019-06-30,173.1,$4.28,40.44
2019-03-31,169.13,$4.15,40.75
2018-12-31,116.01,$4.24,27.36
2018-09-30,137.7,$2.61,52.76
2018-06-30,124.33,$2.23,55.75
2018-03-31,114.52,$2.02,56.69
2017-12-31,107.43,$1.31,82.01
2017-09-30,87.93,$2.35,37.42
2017-06-30,84.09,$2.07,40.62
2017-03-31,75.52,$1.85,40.82
2016-12-31,64.31,$1.86,34.58
2016-09-30,69.31,$1.92,36.1
2016-06-30,64.31,$1.87,34.39
2016-03-31,74.67,$1.78,41.95
2015-12-31,78.62,$1.70,46.25
2015-09-30,74.52,$1.56,47.77
2015-06-30,71.23,$1.42,50.16
2014-12-31,47.75,$1.40,34.11
2014-09-30,43.79,$1.41,31.06
2014-06-30,43.75,$1.32,33.14
2014-03-31,32.9,$1.36,24.19
2013-12-31,34.94,$1.30,26.88
2015-03-31,61.29,$1.19,51.5
2013-09-30,34.5,$1.22,28.28
2013-06-30,27.18,$1.18,23.03
2013-03-31,23.23,$1.18,19.69
2012-12-31,18.1,$1.18,15.34
