Align Technology PE Ratio Historical Data,Align Technology PE Ratio Historical Data,Align Technology PE Ratio Historical Data,Align Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,237.22,,40.28
2024-06-30,241.43,$5.89,40.99
2024-03-31,327.92,$6.07,54.02
2023-12-31,274.0,$5.82,47.08
2023-09-30,305.32,$4.72,64.69
2023-06-30,353.64,$4.07,86.89
2023-03-31,334.14,$4.05,82.5
2022-12-31,210.9,$4.61,45.75
2022-09-30,207.11,$6.47,32.01
2022-06-30,236.67,$7.82,30.26
2022-03-31,436.0,$8.89,49.04
2021-12-31,657.18,$9.70,67.75
2021-09-30,665.43,$9.30,71.55
2021-06-30,611.0,$8.78,69.59
2021-03-31,541.53,$5.75,94.18
2020-12-31,534.38,$22.45,23.8
2020-09-30,327.36,$21.98,14.89
2020-06-30,274.44,$21.50,12.76
2020-03-31,173.95,$23.85,7.29
2019-12-31,279.04,$5.53,50.46
2019-09-30,180.92,$5.20,34.79
2019-06-30,273.7,$5.16,53.04
2019-03-31,284.33,$4.63,61.41
2018-12-31,209.43,$4.91,42.65
2018-09-30,391.22,$3.84,101.88
2018-06-30,342.14,$3.61,94.78
2018-03-31,251.13,$3.16,79.47
2017-12-31,222.19,$2.84,78.24
2017-09-30,186.27,$3.30,56.45
2017-06-30,150.12,$2.92,51.41
2017-03-31,114.71,$2.69,42.64
2016-12-31,96.13,$2.34,41.08
2016-09-30,93.75,$2.35,39.89
2016-06-30,80.55,$2.06,39.1
2016-03-31,72.69,$1.83,39.72
2015-12-31,65.85,$1.77,37.2
2015-09-30,56.76,$1.65,34.4
2015-06-30,62.71,$1.78,35.23
2015-03-31,53.79,$1.82,29.55
2014-12-31,55.91,$1.77,31.59
2014-09-30,51.68,$1.80,28.71
2014-06-30,56.04,$1.75,32.02
2014-03-31,51.79,$1.68,30.83
2013-12-31,57.14,$0.77,74.21
2013-09-30,48.1,$0.38,126.58
2013-06-30,37.04,$0.25,148.16
2013-03-31,33.51,$0.23,145.7
2012-12-31,27.75,$1.01,27.48
2012-09-30,36.97,$1.14,32.43
2012-06-30,33.46,$1.09,30.7
2012-03-31,27.55,$0.89,30.96
2011-12-31,23.73,$0.83,28.58
2011-09-30,15.17,$0.71,21.37
2011-06-30,22.8,$0.69,33.04
2011-03-31,20.48,$0.97,21.11
2010-12-31,19.54,$0.96,20.35
2010-09-30,19.58,$0.98,19.98
2010-06-30,14.87,$0.04,371.75
2010-03-31,19.34,$-0.31,0.0
2009-12-31,17.82,$-0.46,0.0
