D.R Horton PE Ratio Historical Data,D.R Horton PE Ratio Historical Data,D.R Horton PE Ratio Historical Data,D.R Horton PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,188.76,,12.68
2024-06-30,140.69,$14.89,9.45
2024-03-31,163.93,$14.69,11.16
2023-12-31,151.09,$13.90,10.87
2023-09-30,106.6,$13.84,7.7
2023-06-30,120.46,$14.06,8.57
2023-03-31,96.48,$14.83,6.51
2022-12-31,87.81,$16.13,5.44
2022-09-30,66.16,$16.54,4.0
2022-06-30,64.82,$15.57,4.16
2022-03-31,72.73,$13.96,5.21
2021-12-31,105.59,$12.46,8.47
2021-09-30,81.57,$11.43,7.14
2021-06-30,87.61,$9.97,8.79
2021-03-31,86.23,$8.63,9.99
2020-12-31,66.52,$7.40,8.99
2020-09-30,72.79,$6.42,11.34
2020-06-30,53.23,$5.53,9.63
2020-03-31,32.53,$5.07,6.42
2019-12-31,50.32,$4.70,10.71
2019-09-30,50.12,$4.30,11.66
2019-06-30,40.88,$4.17,9.8
2019-03-31,39.09,$4.09,9.56
2018-12-31,32.61,$4.07,8.01
2018-09-30,39.52,$3.80,10.4
2018-06-30,38.31,$3.40,11.27
2018-03-31,40.84,$2.98,13.71
2017-12-31,47.45,$2.67,17.77
2017-09-30,37.01,$2.73,13.56
2017-06-30,31.95,$2.66,12.01
2017-03-31,30.69,$2.56,11.99
2016-12-31,25.1,$2.48,10.12
2016-09-30,27.64,$2.35,11.76
2016-06-30,28.74,$2.24,12.83
2016-03-31,27.52,$2.18,12.62
2015-12-31,29.07,$2.06,14.11
2015-09-30,26.58,$2.09,12.72
2015-06-30,24.72,$1.77,13.96
2015-03-31,25.66,$1.55,16.56
2014-09-30,18.4,$1.51,12.19
2014-06-30,21.97,$1.46,15.05
2014-03-31,19.32,$1.56,12.39
2013-12-31,19.89,$1.50,13.26
2013-09-30,17.31,$1.34,12.92
2013-06-30,18.96,$1.24,15.29
2013-03-31,21.65,$3.04,7.12
2012-12-31,17.62,$2.85,6.18
2012-09-30,18.2,$2.74,6.64
2012-06-30,16.18,$2.83,5.72
2012-03-31,13.33,$0.72,18.51
2011-12-31,11.05,$0.68,16.25
2014-12-31,22.73,$0.68,33.43
2011-09-30,7.9,$0.23,34.33
2011-06-30,10.02,$0.09,111.36
2011-03-31,10.1,$0.16,63.15
2010-12-31,10.31,$0.11,93.77
2010-09-30,9.58,$0.71,13.49
2010-06-30,8.44,$0.01,843.77
2010-03-31,10.79,$-0.60,0.0
2009-12-31,9.28,$-0.98,0.0
