Colgate-Palmolive PE Ratio Historical Data,Colgate-Palmolive PE Ratio Historical Data,Colgate-Palmolive PE Ratio Historical Data,Colgate-Palmolive PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,106.5,,30.87
2024-06-30,96.55,$3.45,27.98
2024-03-31,89.08,$3.16,28.19
2023-12-31,78.39,$2.78,28.2
2023-09-30,69.47,$1.92,36.18
2023-06-30,74.8,$1.80,41.56
2023-03-31,72.51,$1.92,37.77
2022-12-31,75.55,$2.13,35.47
2022-09-30,66.91,$2.30,29.09
2022-06-30,75.86,$2.31,32.84
2022-03-31,71.37,$2.42,29.49
2021-12-31,79.89,$2.56,31.21
2021-09-30,70.33,$3.13,22.47
2021-06-30,75.29,$3.19,23.6
2021-03-31,72.56,$3.10,23.41
2020-12-31,78.27,$3.13,25.01
2020-09-30,70.23,$3.13,22.44
2020-06-30,66.3,$2.99,22.17
2020-03-31,59.7,$2.93,20.37
2019-12-31,61.55,$2.75,22.38
2019-09-30,65.31,$2.70,24.19
2019-06-30,63.3,$2.63,24.07
2019-03-31,60.16,$2.68,22.45
2018-12-31,51.89,$2.75,18.87
2018-09-30,57.98,$2.42,23.96
2018-06-30,55.77,$2.50,22.31
2018-03-31,61.31,$2.36,25.98
2017-12-31,64.21,$2.28,28.16
2017-09-30,61.65,$2.59,23.8
2017-06-30,62.39,$2.69,23.19
2017-03-31,61.27,$2.77,22.12
2016-12-31,54.46,$2.72,20.02
2016-09-30,61.37,$1.53,40.11
2016-06-30,60.27,$1.55,38.88
2016-03-31,57.85,$1.51,38.31
2015-12-31,54.23,$1.51,35.91
2015-09-30,51.36,$2.70,19.02
2015-06-30,52.64,$2.49,21.14
2015-03-31,55.5,$2.53,21.94
2014-12-31,55.09,$2.36,23.34
2014-09-30,51.64,$2.28,22.65
2014-06-30,53.7,$2.39,22.47
2014-03-31,50.82,$2.32,21.91
2013-12-31,50.82,$2.39,21.31
2013-09-30,45.96,$2.42,19.03
2013-06-30,44.15,$2.40,18.43
2013-03-31,45.22,$2.45,18.5
2012-12-31,39.83,$2.58,15.47
2012-09-30,40.61,$2.55,15.93
2012-06-30,39.2,$2.53,15.52
2012-03-31,36.59,$2.51,14.61
2011-12-31,34.35,$2.47,13.91
2011-09-30,32.77,$2.49,13.19
2011-06-30,32.08,$2.44,13.18
2011-03-31,29.43,$2.39,12.31
2010-12-31,29.09,$2.16,13.5
2010-09-30,27.63,$2.14,12.91
2010-06-30,28.14,$2.10,13.43
2010-03-31,30.27,$2.05,14.8
2009-12-31,29.0,$2.18,13.3
