Tyson Foods PE Ratio Historical Data,Tyson Foods PE Ratio Historical Data,Tyson Foods PE Ratio Historical Data,Tyson Foods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,64.31,,0.0
2024-06-30,56.71,$-1.54,0.0
2024-03-31,58.29,$-2.36,0.0
2023-09-30,49.15,$-1.89,0.0
2023-06-30,49.24,$0.92,53.52
2023-03-31,56.69,$2.40,23.62
2022-12-31,59.01,$4.75,12.42
2022-09-30,62.05,$6.15,10.09
2023-12-31,52.87,$7.72,6.85
2022-06-30,80.5,$11.13,7.23
2022-03-31,83.41,$11.11,7.51
2021-12-31,80.71,$10.13,7.97
2021-09-30,72.68,$8.34,8.71
2021-06-30,67.53,$6.53,10.34
2021-03-31,67.64,$5.92,11.43
2020-12-31,58.28,$5.62,10.37
2020-09-30,53.43,$5.86,9.12
2020-06-30,53.28,$4.97,10.72
2020-03-31,51.29,$5.37,9.55
2019-12-31,80.2,$5.54,14.48
2019-09-30,75.53,$5.52,13.68
2019-06-30,70.51,$5.98,11.79
2019-03-31,60.34,$5.61,10.76
2018-12-31,46.13,$5.29,8.72
2018-09-30,51.42,$8.19,6.28
2018-06-30,59.19,$7.79,7.6
2018-03-31,62.64,$7.53,8.32
2017-12-31,69.11,$7.60,9.09
2017-09-30,59.89,$4.23,14.16
2017-06-30,53.05,$4.41,12.03
2017-03-31,52.07,$4.30,12.11
2016-09-30,62.54,$4.53,13.81
2016-06-30,55.83,$4.13,13.52
2016-03-31,55.59,$4.47,12.44
2015-12-31,44.37,$4.20,10.56
2015-09-30,35.75,$3.80,9.41
2016-12-31,51.86,$3.91,13.26
2015-06-30,35.28,$2.67,13.21
2015-03-31,31.62,$2.57,12.3
2014-12-31,33.02,$2.42,13.65
2014-09-30,32.35,$2.40,13.48
2014-06-30,30.79,$2.75,11.2
2014-03-31,36.03,$2.70,13.34
2013-12-31,27.34,$2.36,11.58
2013-09-30,23.05,$2.12,10.87
2013-06-30,20.9,$1.93,10.83
2013-03-31,20.16,$1.46,13.81
2012-12-31,15.72,$1.64,9.58
2012-09-30,12.88,$1.58,8.15
2012-06-30,15.1,$1.33,11.35
2012-03-31,15.32,$1.63,9.4
2011-12-31,16.48,$1.61,10.24
2011-09-30,13.84,$1.97,7.02
2011-06-30,15.44,$2.28,6.77
2011-03-31,15.23,$2.42,6.29
2010-12-31,13.63,$2.42,5.63
2010-09-30,12.65,$0.42,30.12
2010-06-30,12.91,$0.20,64.56
2010-03-31,15.05,$-0.73,0.0
2009-09-30,9.87,$-0.73,0.0
