Equity Residential PE Ratio Historical Data,Equity Residential PE Ratio Historical Data,Equity Residential PE Ratio Historical Data,Equity Residential PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,74.88,,29.83
2024-06-30,68.66,$2.51,27.35
2024-03-31,62.49,$2.41,25.93
2023-12-31,59.91,$2.20,27.23
2023-09-30,56.89,$1.80,31.61
2023-06-30,63.22,$2.21,28.61
2023-03-31,56.9,$2.43,23.41
2022-12-31,55.29,$2.06,26.84
2022-09-30,62.34,$3.04,20.51
2022-06-30,66.37,$3.33,19.93
2022-03-31,81.92,$3.58,22.88
2021-12-31,81.87,$3.54,23.13
2021-09-30,72.72,$2.82,25.79
2021-06-30,68.69,$1.91,35.96
2021-03-31,63.42,$1.77,35.83
2020-12-31,52.05,$2.45,21.25
2020-09-30,44.62,$2.54,17.57
2020-06-30,50.52,$3.01,16.79
2020-03-31,52.48,$3.14,16.71
2019-12-31,68.07,$2.59,26.28
2019-09-30,72.06,$2.13,33.83
2019-06-30,63.0,$2.00,31.5
2019-03-31,62.04,$1.48,41.92
2018-12-31,53.96,$1.77,30.49
2018-09-30,54.17,$1.80,30.09
2018-06-30,51.65,$1.59,32.49
2018-03-31,49.55,$1.81,27.38
2017-12-31,50.81,$1.63,31.17
2017-09-30,52.12,$2.04,25.55
2017-06-30,51.64,$2.23,23.16
2017-03-31,48.45,$2.29,21.16
2016-12-31,49.72,$11.66,4.26
2016-09-30,49.3,$11.46,4.3
2016-06-30,50.06,$11.43,4.38
2016-03-31,54.12,$11.62,4.66
2015-12-31,52.34,$2.35,22.27
2015-09-30,47.86,$2.39,20.03
2015-06-30,44.37,$2.47,17.96
2015-03-31,48.86,$2.00,24.43
2014-12-31,44.77,$1.73,25.88
2014-09-30,38.12,$1.44,26.47
2014-06-30,38.68,$1.88,20.58
2014-03-31,35.32,$2.47,14.3
2013-12-31,31.32,$5.26,5.95
2013-09-30,31.94,$6.13,5.21
2013-06-30,34.38,$5.80,5.93
2013-03-31,32.35,$5.23,6.19
2012-12-31,33.06,$2.69,12.29
2012-09-30,33.1,$1.85,17.89
2012-06-30,35.68,$1.48,24.11
2012-03-31,35.63,$3.00,11.88
2011-12-31,32.27,$2.95,10.94
2011-09-30,29.05,$3.27,8.88
2011-06-30,33.41,$3.01,11.1
2011-03-31,31.23,$1.18,26.47
2010-12-31,28.58,$0.95,30.09
2010-09-30,25.93,$0.45,57.63
2010-06-30,22.55,$0.84,26.84
2010-03-31,21.04,$1.17,17.99
2009-12-31,18.0,$1.25,14.4
