Broadridge Financial Solutions PE Ratio Historical Data,Broadridge Financial Solutions PE Ratio Historical Data,Broadridge Financial Solutions PE Ratio Historical Data,Broadridge Financial Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,212.86,,36.32
2024-06-30,197.0,$5.86,33.62
2024-03-31,204.02,$5.86,34.82
2023-12-31,204.09,$5.74,35.56
2023-09-30,176.88,$5.63,31.42
2023-06-30,162.93,$5.29,30.8
2023-03-31,143.52,$4.66,30.8
2022-12-31,130.64,$4.48,29.16
2022-09-30,139.85,$4.40,31.78
2022-06-30,137.54,$4.55,30.23
2022-03-31,149.52,$4.66,32.09
2021-12-31,174.77,$4.57,38.24
2021-09-30,158.73,$4.65,34.14
2021-06-30,153.29,$4.64,33.04
2021-03-31,144.77,$4.41,32.83
2020-12-31,144.29,$4.44,32.5
2020-09-30,123.84,$4.05,30.58
2020-06-30,117.89,$3.97,29.69
2020-03-31,88.19,$3.55,24.84
2019-12-31,114.24,$3.57,32.0
2019-09-30,114.55,$3.90,29.37
2019-06-30,117.03,$5.14,22.77
2019-03-31,94.69,$4.49,21.09
2018-12-31,87.49,$3.56,24.58
2018-06-30,103.74,$3.56,29.14
2018-03-31,98.55,$3.41,28.9
2017-12-31,81.1,$3.14,25.83
2017-09-30,72.07,$2.87,25.11
2017-06-30,67.07,$2.73,24.57
2017-03-31,60.05,$2.56,23.46
2016-12-31,58.31,$2.45,23.8
2016-09-30,59.32,$2.53,23.45
2016-06-30,56.78,$2.53,22.44
2016-03-31,51.41,$2.48,20.73
2015-12-31,46.33,$2.39,19.38
2015-09-30,47.45,$2.34,20.28
2015-06-30,42.63,$2.32,18.38
2015-03-31,46.65,$2.10,22.21
2014-12-31,38.96,$2.08,18.73
2014-09-30,34.9,$2.02,17.28
2014-06-30,34.69,$2.12,16.36
2014-03-31,30.79,$2.08,14.8
2013-12-31,32.58,$2.02,16.13
2013-09-30,26.03,$1.93,13.49
2013-06-30,21.64,$1.71,12.66
2013-03-31,20.09,$1.27,15.82
2012-12-31,18.37,$1.05,17.49
2012-09-30,18.59,$0.97,19.16
2012-06-30,16.82,$1.47,11.44
2012-03-31,18.76,$0.95,19.75
2011-12-31,17.58,$1.74,10.1
2018-09-30,119.35,$1.92,62.16
2011-09-30,15.59,$1.36,11.46
2011-06-30,18.48,$1.33,13.9
2011-03-31,17.3,$1.17,14.79
2010-12-31,16.61,$1.12,14.83
2010-09-30,17.2,$1.28,13.44
2010-06-30,14.23,$1.37,10.39
2010-03-31,15.86,$1.44,11.01
2009-12-31,16.63,$1.55,10.73
