Hubbell Inc PE Ratio Historical Data,Hubbell Inc PE Ratio Historical Data,Hubbell Inc PE Ratio Historical Data,Hubbell Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,399.92,,29.56
2024-06-30,364.37,$13.53,26.93
2024-03-31,413.79,$13.41,30.86
2023-12-31,326.85,$14.05,23.26
2023-09-30,310.15,$13.16,23.57
2023-06-30,326.99,$12.03,27.18
2023-03-31,239.03,$10.47,22.83
2022-12-31,229.53,$10.41,22.05
2022-09-30,217.13,$10.28,21.12
2022-06-30,173.0,$9.69,17.85
2022-03-31,177.06,$9.17,19.31
2021-12-31,199.51,$7.28,27.41
2021-09-30,172.17,$6.62,26.01
2021-06-30,177.22,$6.60,26.85
2021-03-31,176.36,$6.48,27.22
2020-12-31,147.14,$6.43,22.88
2020-09-30,127.65,$6.80,18.77
2020-06-30,116.21,$7.22,16.1
2020-03-31,105.6,$7.35,14.37
2019-12-31,135.12,$7.30,18.51
2019-09-30,119.37,$7.05,16.93
2019-06-30,117.7,$6.73,17.49
2019-03-31,105.73,$6.80,15.55
2018-12-31,88.4,$6.53,13.54
2018-09-30,118.86,$5.30,22.43
2018-06-30,93.52,$4.71,19.86
2018-03-31,106.96,$4.32,24.76
2017-12-31,118.19,$4.40,26.86
2017-09-30,100.7,$5.19,19.4
2017-06-30,97.61,$5.28,18.49
2017-03-31,102.93,$5.30,19.42
2016-12-31,99.48,$5.25,18.95
2016-09-30,91.27,$5.15,17.72
