Digital Realty Trust PE Ratio Historical Data,Digital Realty Trust PE Ratio Historical Data,Digital Realty Trust PE Ratio Historical Data,Digital Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,151.61,,44.2
2024-06-30,152.05,$3.43,44.33
2024-03-31,142.88,$3.60,39.69
2023-12-31,132.36,$2.97,44.57
2023-09-30,117.94,$2.87,41.1
2023-06-30,109.93,$1.29,85.22
2023-03-31,93.82,$1.11,84.53
2022-12-31,94.6,$1.14,82.99
2022-09-30,92.5,$4.87,18.99
2022-06-30,119.82,$4.56,26.28
2022-03-31,129.6,$4.82,26.89
2021-12-31,160.18,$5.92,27.06
2021-09-30,129.92,$2.37,54.82
2021-06-30,134.31,$1.79,75.03
2021-03-31,124.83,$1.54,81.06
2020-12-31,122.59,$1.12,109.46
2020-09-30,127.85,$2.46,51.97
2020-06-30,122.84,$2.84,43.25
2020-03-31,119.1,$2.79,42.69
2019-12-31,101.77,$2.35,43.31
2019-09-30,109.3,$1.00,109.3
2019-06-30,98.34,$1.09,90.22
2019-03-31,98.46,$1.26,78.14
2018-12-31,87.34,$1.22,71.59
2018-09-30,91.4,$1.33,68.72
2018-06-30,89.93,$0.98,91.76
2018-03-31,84.13,$1.02,82.48
2017-12-31,90.07,$1.01,89.18
2017-09-30,92.83,$1.24,74.86
2017-06-30,87.93,$2.51,35.03
2017-03-31,82.16,$2.34,35.11
2016-12-31,75.21,$2.20,34.18
2016-09-30,73.66,$1.43,51.51
2016-06-30,81.89,$0.46,178.02
2016-03-31,65.91,$1.13,58.33
2015-12-31,55.75,$1.61,34.63
2015-09-30,47.58,$1.50,31.72
2015-06-30,47.91,$2.02,23.72
2015-03-31,46.78,$1.47,31.82
2014-12-31,46.41,$0.98,47.36
2014-09-30,43.13,$1.70,25.37
2014-06-30,39.82,$1.96,20.32
2014-03-31,35.72,$2.02,17.68
2013-12-31,32.55,$2.10,15.5
2013-09-30,34.59,$2.13,16.24
2013-06-30,39.18,$1.44,27.21
2013-03-31,42.41,$1.45,29.25
2012-12-31,42.54,$1.47,28.94
2012-09-30,43.29,$1.45,29.86
2012-06-30,46.06,$1.39,33.14
2012-03-31,44.93,$1.34,33.53
2011-12-31,40.09,$1.32,30.37
2011-09-30,32.82,$1.25,26.26
2011-06-30,36.32,$1.05,34.59
2011-03-31,33.81,$0.83,40.74
2010-12-31,29.61,$0.67,44.2
2010-09-30,35.1,$0.58,60.52
2010-06-30,32.54,$0.63,51.65
2010-03-31,30.34,$0.65,46.68
2009-12-31,27.91,$0.61,45.75
