Johnson & Johnson PE Ratio Historical Data,Johnson & Johnson PE Ratio Historical Data,Johnson & Johnson PE Ratio Historical Data,Johnson & Johnson PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,165.86,,10.36
2024-06-30,145.06,$16.01,9.06
2024-03-31,155.72,$16.04,9.71
2023-12-31,153.13,$13.81,11.09
2023-09-30,150.96,$13.47,11.21
2023-06-30,159.29,$4.94,32.25
2023-03-31,148.04,$4.78,30.97
2022-12-31,167.54,$6.74,24.86
2022-09-30,153.95,$7.18,21.44
2022-06-30,166.16,$6.87,24.19
2022-03-31,164.86,$7.42,22.22
2021-12-31,158.11,$7.81,20.24
2021-09-30,148.28,$6.69,22.16
2021-06-30,150.36,$6.65,22.61
2021-03-31,149.07,$5.66,26.34
2020-12-31,141.87,$5.51,25.75
2020-09-30,133.27,$6.36,20.95
2020-06-30,125.05,$6.84,18.28
2020-03-31,115.8,$7.56,15.32
2019-12-31,127.98,$6.78,18.88
2019-09-30,112.73,$6.40,17.61
2019-06-30,121.36,$6.03,20.13
2019-03-31,120.97,$5.40,22.4
2018-12-31,110.95,$5.61,19.78
2018-09-30,118.03,$0.50,236.07
2018-06-30,102.97,$0.43,239.47
2018-03-31,107.95,$0.38,284.08
2017-12-31,116.95,$0.39,299.88
2017-09-30,108.17,$5.76,18.78
2017-06-30,109.37,$5.92,18.47
2017-03-31,102.29,$5.95,17.19
2016-12-31,94.01,$5.88,15.99
2016-09-30,95.73,$5.65,16.94
2016-06-30,97.65,$5.32,18.35
2016-03-31,86.49,$5.50,15.72
2015-12-31,81.52,$5.49,14.85
2015-09-30,73.54,$5.23,14.06
2015-06-30,76.18,$5.69,13.39
2015-03-31,78.07,$5.59,13.97
2014-12-31,80.59,$5.70,14.14
2014-09-30,81.61,$6.04,13.51
2014-06-30,79.56,$5.42,14.68
2014-03-31,74.19,$5.24,14.16
2013-12-31,68.68,$4.82,14.25
2013-09-30,64.56,$4.50,14.35
2013-06-30,63.47,$4.51,14.07
2013-03-31,59.81,$3.68,16.25
2012-12-31,51.02,$3.87,13.18
2012-09-30,49.72,$3.04,16.35
2012-06-30,48.31,$3.14,15.38
2012-03-31,46.71,$3.64,12.83
2011-12-31,46.04,$3.48,13.23
2011-09-30,44.3,$4.10,10.8
2011-06-30,45.86,$4.18,10.97
2011-03-31,40.49,$4.41,9.18
2010-12-31,41.89,$4.78,8.76
2010-09-30,41.61,$4.87,8.54
2010-06-30,39.29,$4.84,8.12
2010-03-31,42.98,$4.76,9.03
2009-12-31,42.14,$4.40,9.58
