Gilead Sciences PE Ratio Historical Data,Gilead Sciences PE Ratio Historical Data,Gilead Sciences PE Ratio Historical Data,Gilead Sciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,79.0,,96.34
2024-06-30,68.61,$0.82,83.67
2024-03-31,72.39,$0.36,201.09
2023-12-31,79.24,$4.50,17.61
2023-09-30,72.64,$4.66,15.59
2023-06-30,73.98,$4.35,17.01
2023-03-31,78.89,$4.43,17.81
2022-12-31,80.87,$3.65,22.16
2022-09-30,57.63,$2.65,21.75
2022-06-30,57.11,$3.28,17.41
2022-03-31,54.24,$3.58,15.15
2021-12-31,65.43,$4.93,13.27
2021-09-30,62.31,$5.86,10.63
2021-06-30,60.82,$4.10,14.83
2021-03-31,56.49,$0.23,245.61
2020-12-31,50.34,$0.08,629.28
2020-09-30,53.99,$0.97,55.66
2020-06-30,65.07,$-0.24,0.0
2020-03-31,62.64,$3.89,16.1
2019-12-31,53.91,$4.21,12.81
2019-09-30,52.1,$2.09,24.93
2019-06-30,55.01,$4.61,11.93
2019-03-31,52.44,$4.53,11.58
2018-12-31,49.97,$4.16,12.01
2018-09-30,61.17,$1.20,50.97
2018-06-30,55.69,$1.66,33.55
2018-03-31,58.8,$2.60,22.62
2017-12-31,55.48,$3.48,15.94
2017-09-30,62.3,$8.78,7.1
2017-06-30,54.09,$9.21,5.87
2017-03-31,51.49,$9.46,5.44
2016-12-31,53.87,$9.94,5.42
2016-09-30,59.15,$10.78,5.49
2016-06-30,61.99,$11.35,5.46
2016-03-31,67.88,$11.69,5.81
2015-12-31,74.42,$11.92,6.24
2015-09-30,71.73,$10.92,6.57
2015-06-30,85.41,$9.53,8.96
2015-03-31,71.32,$8.81,8.1
2014-12-31,68.51,$7.38,9.28
2014-09-30,77.37,$5.67,13.65
2014-06-30,60.26,$4.47,13.48
2014-03-31,51.5,$2.73,18.87
2013-12-31,54.58,$1.83,29.83
2013-09-30,45.7,$1.83,24.97
2013-06-30,37.26,$1.79,20.88
2013-03-31,35.57,$1.79,19.93
2012-12-31,26.69,$1.65,16.23
2012-09-30,24.11,$1.61,14.97
2012-06-30,18.64,$1.66,11.23
2012-03-31,17.76,$1.67,10.66
2011-12-31,14.87,$1.78,8.38
2011-09-30,14.1,$1.72,8.2
2011-06-30,15.05,$1.66,9.07
2011-03-31,15.43,$1.59,9.71
2010-12-31,13.17,$1.65,7.98
2010-09-30,12.94,$1.71,7.59
2010-06-30,12.46,$1.65,7.55
2010-03-31,16.52,$1.56,10.59
2009-12-31,15.72,$1.42,11.11
