Pfizer PE Ratio Historical Data,Pfizer PE Ratio Historical Data,Pfizer PE Ratio Historical Data,Pfizer PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,29.01,,0.0
2024-06-30,27.6,$-0.46,0.0
2024-03-31,26.97,$-0.06,0.0
2023-12-31,27.56,$0.36,76.57
2023-09-30,31.32,$1.83,17.12
2023-06-30,34.25,$3.76,9.11
2023-03-31,37.69,$5.08,7.42
2022-12-31,46.9,$5.48,8.56
2022-09-30,39.71,$5.20,7.64
2022-06-30,47.2,$5.11,9.24
2022-03-31,46.24,$4.36,10.61
2021-12-31,52.35,$3.85,13.6
2021-09-30,37.8,$3.36,11.25
2021-06-30,34.1,$2.33,14.64
2021-03-31,31.24,$1.96,15.94
2020-12-31,31.4,$1.71,18.36
2020-09-30,29.38,$1.55,18.95
2020-06-30,25.92,$2.52,10.29
2020-03-31,25.61,$2.80,9.15
2019-12-31,30.43,$2.87,10.6
2019-09-30,27.64,$2.86,9.66
2019-06-30,33.01,$2.19,15.07
2019-03-31,32.08,$1.95,16.45
2018-12-31,32.69,$1.86,17.58
2018-09-30,32.75,$3.95,8.29
2018-06-30,26.73,$3.73,7.17
2018-03-31,25.9,$3.59,7.21
2017-12-31,26.19,$3.13,8.37
2017-09-30,25.58,$1.32,19.38
2017-06-30,23.84,$1.18,20.2
2016-12-31,22.6,$1.16,19.48
2016-09-30,23.34,$1.13,20.65
2016-06-30,24.05,$1.26,19.09
2016-03-31,20.07,$1.35,14.86
2015-12-31,21.64,$1.24,17.45
2015-09-30,20.88,$1.33,15.7
2015-06-30,22.12,$1.41,15.69
2015-03-31,22.76,$1.44,15.81
2014-12-31,20.2,$1.42,14.23
2014-09-30,19.01,$1.62,11.74
2014-06-30,18.92,$1.59,11.9
2014-03-31,20.29,$3.12,6.5
2013-12-31,19.18,$3.14,6.11
2013-09-30,17.85,$3.60,4.96
2013-06-30,17.27,$3.64,4.74
2013-03-31,17.64,$2.09,8.44
2012-12-31,15.2,$1.95,7.79
2012-09-30,14.92,$1.29,11.57
2012-06-30,13.69,$1.34,10.21
2012-03-31,13.35,$1.24,10.76
2011-12-31,12.62,$1.28,9.86
2011-09-30,10.21,$1.45,7.04
2011-06-30,11.77,$1.08,10.9
2011-03-31,11.49,$1.06,10.84
2010-12-31,9.8,$1.03,9.52
2010-09-30,9.51,$0.77,12.36
2010-06-30,7.82,$1.09,7.17
2010-03-31,9.3,$1.12,8.31
2009-12-31,9.77,$1.27,7.69
2009-09-30,8.81,$1.68,5.24
