Garmin PE Ratio Historical Data,Garmin PE Ratio Historical Data,Garmin PE Ratio Historical Data,Garmin PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,183.29,,25.63
2024-06-30,162.92,$7.15,22.79
2024-03-31,148.18,$7.09,20.9
2023-12-31,127.31,$6.71,18.97
2023-09-30,103.59,$5.42,19.11
2023-06-30,102.0,$5.17,19.73
2023-03-31,98.03,$5.00,19.61
2022-12-31,88.97,$5.04,17.65
2022-09-30,76.84,$4.99,15.4
2022-06-30,93.23,$5.24,17.79
2022-03-31,111.67,$5.55,20.12
2021-12-31,127.43,$5.60,22.75
2021-09-30,144.75,$5.85,24.74
2021-06-30,134.15,$6.14,21.85
2021-03-31,121.72,$5.46,22.29
2020-12-31,109.94,$5.16,21.31
2020-09-30,86.7,$5.32,16.3
2020-06-30,88.57,$4.88,18.15
2020-03-31,67.65,$5.09,13.29
2019-12-31,87.4,$4.99,17.51
2019-09-30,75.43,$4.10,18.4
2019-06-30,70.6,$3.88,18.2
2019-03-31,75.85,$3.71,20.45
2018-12-31,55.27,$3.65,15.14
2018-09-30,60.66,$3.38,17.95
2018-06-30,52.42,$3.19,16.43
2018-03-31,50.2,$3.10,16.19
2017-12-31,50.32,$3.68,13.67
2017-09-30,45.2,$3.67,12.32
2017-06-30,42.33,$3.55,11.92
2017-03-31,41.98,$3.49,12.03
2016-12-31,39.44,$2.69,14.66
2016-09-30,38.74,$2.67,14.51
2016-06-30,33.79,$2.64,12.8
2016-03-31,31.44,$2.51,12.53
2015-12-31,28.87,$2.40,12.03
2015-09-30,27.48,$2.79,9.85
2015-06-30,33.17,$1.40,23.69
2015-03-31,35.48,$1.61,22.04
2014-12-31,39.06,$1.87,20.89
2014-09-30,38.09,$1.61,23.66
2014-06-30,44.22,$3.33,13.28
2014-03-31,39.8,$3.28,12.13
2013-12-31,32.99,$3.12,10.57
2013-09-30,31.97,$2.95,10.84
2013-06-30,25.32,$2.71,9.34
2013-03-31,22.83,$2.78,8.21
2012-12-31,27.79,$2.77,10.03
2012-09-30,28.15,$2.96,9.51
2012-06-30,25.55,$3.01,8.49
2012-03-31,30.98,$2.62,11.82
2011-12-31,26.03,$2.67,9.75
2011-09-30,20.56,$2.50,8.22
2011-06-30,21.12,$3.16,6.68
2011-03-31,21.13,$3.27,6.46
2010-12-31,19.34,$2.97,6.51
2010-09-30,18.94,$3.67,5.16
2010-06-30,18.21,$3.31,5.5
2010-03-31,23.15,$3.45,6.71
2009-12-31,18.4,$3.50,5.26
