Synchrony Financial PE Ratio Historical Data,Synchrony Financial PE Ratio Historical Data,Synchrony Financial PE Ratio Historical Data,Synchrony Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,50.26,,6.98
2024-06-30,46.92,$7.20,6.52
2024-03-31,42.64,$6.97,6.12
2023-12-31,37.53,$5.18,7.24
2023-09-30,29.77,$5.41,5.5
2023-06-30,32.8,$5.40,6.07
2023-03-31,27.9,$5.68,4.91
2022-12-31,31.33,$6.10,5.14
2022-09-30,26.7,$6.32,4.23
2022-06-30,25.98,$6.85,3.79
2022-03-31,32.55,$7.37,4.42
2021-12-31,43.17,$7.33,5.89
2021-09-30,45.27,$7.09,6.39
2021-06-30,44.73,$5.61,7.97
2021-03-31,37.3,$3.55,10.51
2020-12-31,31.65,$2.27,13.94
2020-09-30,23.66,$2.18,10.85
2020-06-30,19.83,$3.26,6.08
2020-03-31,14.23,$4.44,3.21
2019-12-31,31.64,$5.55,5.7
2019-09-30,29.77,$5.49,5.42
2019-06-30,30.09,$4.80,6.27
2019-03-31,27.69,$4.39,6.31
2018-12-31,20.22,$3.32,6.09
2018-09-30,26.57,$2.93,9.07
2018-03-31,28.34,$2.63,10.77
2017-12-31,32.5,$2.41,13.49
2017-09-30,26.02,$2.62,9.93
2017-06-30,24.87,$2.84,8.76
2017-03-31,28.47,$2.96,9.62
2016-12-31,30.0,$2.93,10.24
2018-06-30,28.34,$2.93,9.67
2016-09-30,23.05,$2.66,8.67
2016-06-30,20.72,$2.62,7.91
2016-03-31,23.48,$2.69,8.73
2015-12-31,24.92,$2.65,9.4
2015-09-30,25.65,$2.64,9.72
2015-06-30,26.98,$2.65,10.18
