Meta Platforms PE Ratio Historical Data,Meta Platforms PE Ratio Historical Data,Meta Platforms PE Ratio Historical Data,Meta Platforms PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,521.31,,26.61
2024-06-30,504.22,$19.59,25.74
2024-03-31,485.1,$17.41,27.86
2023-12-31,353.23,$14.90,23.71
2023-09-30,299.59,$11.33,26.44
2023-06-30,286.39,$8.58,33.38
2023-03-31,211.5,$8.06,26.24
2022-12-31,120.09,$8.58,14.0
2022-09-30,135.4,$10.49,12.91
2022-06-30,160.92,$12.07,13.33
2022-03-31,221.9,$13.22,16.79
2021-12-31,335.66,$13.80,24.32
2021-09-30,338.69,$14.01,24.18
2021-06-30,346.99,$13.50,25.7
2021-03-31,293.92,$11.69,25.14
2020-12-31,272.6,$10.10,26.99
2020-09-30,261.36,$8.78,29.77
2020-06-30,226.6,$8.19,27.67
2020-03-31,166.46,$7.30,22.8
2019-12-31,204.83,$6.44,31.81
2019-09-30,177.71,$6.26,28.39
2019-06-30,192.6,$5.90,32.64
2019-03-31,166.35,$6.73,24.72
2018-12-31,130.82,$7.57,17.28
2018-09-30,164.12,$6.63,24.75
2018-06-30,193.92,$6.46,30.02
2018-03-31,159.46,$6.04,26.4
2017-12-31,176.1,$5.39,32.67
2017-09-30,170.52,$5.16,33.05
2017-06-30,150.67,$4.39,34.32
2017-03-31,141.76,$3.78,37.5
2016-12-31,114.81,$3.26,35.22
2016-09-30,128.01,$2.59,49.42
2016-06-30,114.04,$2.08,54.83
2016-03-31,113.87,$1.62,70.29
2015-12-31,104.44,$1.28,81.6
2015-09-30,89.55,$0.99,90.45
2015-06-30,85.59,$0.98,87.34
2015-03-31,82.05,$1.03,79.66
2014-12-31,77.86,$1.10,70.78
2014-09-30,78.88,$1.05,75.12
2014-06-30,67.15,$0.92,72.99
2014-03-31,60.12,$0.75,80.15
2013-12-31,54.54,$0.59,92.43
2013-09-30,50.13,$0.42,119.35
2013-06-30,24.83,$0.23,107.95
2013-03-31,25.53,$0.02,1276.37
