Masco PE Ratio Historical Data,Masco PE Ratio Historical Data,Masco PE Ratio Historical Data,Masco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,79.56,,19.45
2024-06-30,66.41,$4.09,16.24
2024-03-31,78.25,$4.08,19.18
2023-12-31,66.18,$4.01,16.5
2023-09-30,52.81,$3.67,14.39
2023-06-30,56.42,$3.54,15.94
2023-03-31,48.61,$3.57,13.62
2022-12-31,45.39,$3.64,12.47
2022-09-30,45.13,$3.68,12.26
2022-06-30,48.66,$3.60,13.52
2022-03-31,48.8,$2.27,21.5
2021-12-31,66.86,$1.64,40.77
2021-09-30,52.7,$1.83,28.8
2021-06-30,55.67,$1.99,27.98
2021-03-31,56.39,$2.98,18.92
2020-12-31,51.58,$4.56,11.31
2020-09-30,51.64,$5.41,9.55
2020-06-30,46.91,$4.80,9.77
2020-03-31,32.19,$4.77,6.75
2019-12-31,44.56,$3.24,13.75
2019-09-30,38.57,$2.29,16.84
2019-06-30,36.2,$2.43,14.9
2019-03-31,36.16,$2.29,15.79
2018-12-31,26.8,$2.37,11.31
2018-09-30,33.42,$2.00,16.71
2018-06-30,34.07,$1.88,18.12
2018-03-31,36.73,$1.69,21.73
2017-12-31,39.82,$1.65,24.13
2017-09-30,35.25,$1.68,20.98
2017-06-30,34.44,$1.62,21.26
2017-03-31,30.55,$1.58,19.33
2016-12-31,28.33,$1.47,19.27
2016-09-30,30.65,$1.39,22.05
2016-06-30,27.55,$1.31,21.03
2016-03-31,27.92,$1.16,24.07
2015-12-31,25.04,$1.02,24.55
2015-09-30,22.2,$1.08,20.56
2015-06-30,20.72,$2.27,9.13
2015-03-31,20.67,$2.36,8.76
2014-12-31,19.44,$2.39,8.13
2014-09-30,18.38,$2.23,8.24
2014-06-30,17.06,$1.01,16.89
2014-03-31,16.94,$0.83,20.41
2013-12-31,17.31,$0.75,23.08
2013-09-30,16.12,$0.38,42.42
2013-06-30,14.71,$0.13,113.13
2013-03-31,15.22,$-0.30,0.0
2012-12-31,12.47,$-0.34,0.0
2012-09-30,11.2,$-1.74,0.0
2012-06-30,10.27,$-1.68,0.0
2012-03-31,9.84,$-1.44,0.0
2011-12-31,7.66,$-1.66,0.0
2011-09-30,5.16,$-2.97,0.0
2011-06-30,8.66,$-3.09,0.0
2011-03-31,9.97,$-3.10,0.0
2010-12-31,9.01,$-2.99,0.0
2010-09-30,7.79,$-0.56,0.0
2010-06-30,7.56,$-0.46,0.0
2010-03-31,10.85,$-0.32,0.0
2009-12-31,9.61,$-0.53,0.0
