Mosaic PE Ratio Historical Data,Mosaic PE Ratio Historical Data,Mosaic PE Ratio Historical Data,Mosaic PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,28.57,,38.61
2024-06-30,28.9,$0.74,39.05
2024-03-31,32.46,$2.35,13.81
2023-12-31,35.49,$3.49,10.17
2023-09-30,35.16,$3.90,9.02
2023-06-30,34.39,$6.33,5.43
2023-03-31,44.8,$8.07,5.55
2022-12-31,42.45,$9.98,4.25
2022-09-30,46.63,$10.22,4.56
2022-06-30,45.44,$8.77,5.18
2022-03-31,63.82,$7.06,9.04
2021-12-31,37.63,$6.04,6.23
2021-09-30,34.13,$4.26,8.01
2021-06-30,30.42,$3.41,8.92
2020-12-31,21.86,$1.73,12.63
2020-09-30,17.31,$-2.87,0.0
2020-06-30,11.82,$-2.96,0.0
2020-03-31,10.19,$-3.68,0.0
2019-12-31,20.32,$-2.80,0.0
2019-09-30,19.2,$-0.08,0.0
2019-06-30,23.38,$0.67,34.89
2019-03-31,25.45,$1.68,15.15
2018-12-31,27.2,$1.52,17.89
2018-09-30,30.22,$1.34,22.55
2021-03-31,30.08,$-0.53,0.0
2018-06-30,26.07,$-0.29,0.0
2018-03-31,22.55,$-0.19,0.0
2017-12-31,23.81,$-0.30,0.0
2017-09-30,20.01,$0.96,20.85
2017-06-30,21.0,$0.42,50.0
2017-03-31,26.67,$0.11,242.45
2016-12-31,26.57,$0.84,31.63
2016-09-30,21.94,$1.25,17.55
2016-06-30,23.26,$1.59,14.63
2016-03-31,23.73,$2.70,8.79
2015-12-31,24.0,$2.77,8.66
2015-09-30,26.83,$3.30,8.13
2015-06-30,40.12,$3.39,11.84
2015-03-31,39.21,$2.95,13.29
2014-12-31,38.68,$2.69,14.38
2014-09-30,37.42,$2.02,18.52
2014-06-30,41.45,$1.77,23.42
2014-03-31,41.69,$2.27,18.37
2013-12-31,39.22,$1.73,22.67
2013-09-30,35.5,$2.24,15.85
2013-06-30,44.15,$1.95,22.64
2013-05-31,49.9,$0.81,61.61
2013-03-31,48.71,$1.82,26.77
2013-02-28,47.84,$1.01,47.37
2012-11-30,44.0,$1.01,43.56
2012-09-30,46.66,$1.01,46.2
2012-08-31,46.91,0,0.0
2012-05-31,38.46,0,0.0
2012-02-29,46.47,0,0.0
2011-11-30,42.41,0,0.0
2011-08-31,57.13,0,0.0
2011-05-31,56.87,0,0.0
2011-02-28,68.86,0,0.0
2010-11-30,54.21,0,0.0
2010-08-31,46.99,0,0.0
2010-05-31,36.95,0,0.0
2010-02-28,46.68,0,0.0
2009-11-30,43.49,0,0.0
