Progressive PE Ratio Historical Data,Progressive PE Ratio Historical Data,Progressive PE Ratio Historical Data,Progressive PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,252.2,,30.35
2024-06-30,207.61,$8.31,24.98
2023-12-31,158.34,$6.58,24.06
2023-09-30,138.38,$4.61,30.02
2023-06-30,131.39,$6.66,19.73
2023-03-31,141.91,$6.29,22.56
2022-12-31,128.57,$4.60,27.95
2024-03-31,206.62,$3.72,55.54
2022-09-30,115.09,$1.41,81.63
2022-06-30,115.06,$1.40,82.18
2022-03-31,112.7,$3.68,30.63
2021-12-31,101.39,$5.67,17.88
2021-09-30,87.88,$6.89,12.76
2021-06-30,95.39,$9.29,10.27
2021-03-31,92.77,$10.99,8.44
2020-12-31,91.5,$9.65,9.48
2020-09-30,87.51,$8.61,10.16
2020-06-30,73.96,$7.44,9.94
2020-03-31,68.08,$6.06,11.23
2019-12-31,64.65,$6.72,9.62
2019-09-30,68.9,$5.35,12.88
2019-06-30,71.21,$5.50,12.95
2019-03-31,64.14,$5.03,12.75
2018-12-31,53.67,$4.42,12.14
2018-09-30,63.2,$4.96,12.74
2018-06-30,52.62,$3.77,13.96
2018-03-31,54.21,$3.21,16.89
2017-12-31,49.08,$2.65,18.52
2017-09-30,42.19,$2.01,20.99
2017-06-30,38.42,$1.96,19.6
2016-12-31,30.37,$1.77,17.16
2016-09-30,26.95,$1.67,16.14
2016-06-30,28.66,$2.06,13.91
2016-03-31,30.07,$2.20,13.67
2015-12-31,26.44,$2.38,11.11
2017-03-31,34.14,$2.32,14.72
2015-09-30,25.47,$2.22,11.47
2015-06-30,23.14,$2.25,10.28
2015-03-31,22.61,$2.12,10.67
2014-12-31,21.86,$2.16,10.12
2014-09-30,20.47,$2.03,10.09
2014-06-30,20.54,$1.92,10.7
2014-03-31,19.62,$1.97,9.96
2013-12-31,20.75,$1.94,10.7
2013-09-30,20.72,$1.85,11.2
2013-06-30,19.34,$1.92,10.07
2013-03-31,19.23,$1.57,12.25
2012-12-31,15.86,$1.48,10.71
2012-09-30,14.89,$1.49,9.99
2012-06-30,14.96,$1.27,11.78
2012-03-31,16.64,$1.46,11.4
2011-12-31,13.73,$1.59,8.64
2011-09-30,12.5,$1.62,7.72
2011-06-30,15.05,$1.78,8.45
2011-03-31,14.87,$1.72,8.65
2010-12-31,13.71,$1.61,8.52
2010-09-30,13.71,$1.62,8.46
2010-06-30,12.3,$1.62,7.59
2010-03-31,12.54,$1.67,7.51
2009-12-31,11.7,$1.58,7.41
