Revvity PE Ratio Historical Data,Revvity PE Ratio Historical Data,Revvity PE Ratio Historical Data,Revvity PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,122.54,,101.27
2024-03-31,104.86,$1.21,86.66
2023-12-31,109.09,$5.50,19.83
2023-09-30,110.4,$5.95,18.55
2023-06-30,118.4,$6.32,18.73
2023-03-31,132.76,$6.71,19.78
2022-12-31,139.62,$3.63,38.46
2024-06-30,104.79,$3.94,26.6
2022-09-30,119.75,$4.90,24.44
2022-06-30,141.46,$5.34,26.49
2022-03-31,173.46,$7.30,23.76
2021-12-31,199.82,$7.47,26.75
2021-09-30,172.15,$7.29,23.62
2020-12-31,142.35,$6.48,21.97
2020-09-30,124.44,$3.68,33.81
2020-06-30,97.19,$4.30,22.6
2020-03-31,74.52,$3.59,20.76
2019-12-31,96.06,$3.91,24.57
2021-06-30,153.33,$3.65,42.01
2019-09-30,84.19,$2.10,40.09
2019-06-30,95.16,$2.27,41.92
2019-03-31,95.11,$2.22,42.84
2018-12-31,77.46,$2.13,36.37
2018-09-30,95.85,$1.12,85.58
2018-06-30,72.1,$1.25,57.68
2018-03-31,74.48,$2.52,29.55
2017-12-31,71.86,$2.64,27.22
2017-09-30,67.71,$3.60,18.81
2017-06-30,66.83,$3.31,20.19
2017-03-31,56.87,$2.05,27.74
2016-12-31,51.02,$2.13,23.95
2016-09-30,54.82,$2.15,25.5
2016-06-30,51.15,$2.10,24.36
2016-03-31,48.19,$1.95,24.71
2015-12-31,52.12,$1.88,27.72
2015-09-30,44.65,$1.54,28.99
2015-06-30,51.07,$1.43,35.71
2015-03-31,49.55,$1.44,34.41
2014-12-31,42.3,$1.65,25.64
2014-09-30,42.1,$1.74,24.2
2014-06-30,45.16,$1.62,27.88
2013-12-31,39.62,$1.46,27.14
2013-09-30,36.21,$0.75,48.28
2013-06-30,31.11,$0.65,47.86
2013-03-31,32.13,$0.69,46.57
2012-12-31,30.26,$0.61,49.6
2012-09-30,28.03,$-0.00,0.0
2012-06-30,24.47,$0.05,489.41
2012-03-31,26.17,$0.01,2616.56
2011-12-31,18.86,$2.27,8.31
2011-09-30,18.05,$3.13,5.77
2011-06-30,25.22,$3.31,7.62
2010-12-31,24.07,$3.27,7.36
2010-09-30,21.5,$1.15,18.7
2010-06-30,19.14,$1.24,15.43
2010-03-31,22.06,$0.87,25.36
2009-12-31,18.94,$0.84,22.55
2011-03-31,24.55,$0.59,41.62
2009-09-30,17.64,$3.76,4.69
2009-06-30,15.89,$3.94,4.03
