Parker-Hannifin PE Ratio Historical Data,Parker-Hannifin PE Ratio Historical Data,Parker-Hannifin PE Ratio Historical Data,Parker-Hannifin PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,600.2,,27.54
2024-06-30,504.41,$21.79,23.15
2024-03-31,552.65,$21.22,26.04
2023-12-31,456.78,$20.20,22.61
2023-09-30,384.85,$18.01,21.37
2023-06-30,383.96,$16.00,24.0
2023-03-31,329.36,$11.55,28.52
2022-12-31,284.09,$9.68,29.35
2022-09-30,235.52,$9.61,24.51
2022-06-30,238.01,$10.08,23.61
2022-03-31,273.09,$12.93,21.12
2021-12-31,305.13,$13.85,22.03
2021-09-30,267.36,$14.29,18.71
2021-06-30,292.65,$13.31,21.99
2021-03-31,299.6,$11.74,25.52
2020-12-31,257.92,$10.98,23.49
2020-09-30,190.87,$9.14,20.88
2020-06-30,172.15,$9.27,18.57
2020-03-31,121.18,$10.17,11.92
2019-12-31,191.45,$10.48,18.27
2019-09-30,167.26,$11.27,14.84
2019-06-30,156.57,$11.46,13.66
2019-03-31,157.25,$10.91,14.41
2018-12-31,136.01,$10.47,12.99
2018-09-30,167.0,$8.52,19.6
2018-06-30,140.89,$7.83,17.99
2018-03-31,153.94,$7.36,20.92
2017-12-31,178.96,$6.41,27.92
2017-09-30,156.37,$7.78,20.1
2017-06-30,142.19,$7.23,19.67
2017-03-31,142.05,$6.85,20.74
2016-12-31,123.49,$6.47,19.09
2016-09-30,110.18,$6.02,18.3
2016-06-30,94.36,$5.88,16.05
2016-03-31,96.46,$5.38,17.93
2015-12-31,83.7,$6.03,13.88
2015-09-30,83.47,$6.50,12.84
2015-06-30,99.19,$6.94,14.29
2015-03-31,100.75,$7.65,13.17
2014-12-31,108.81,$7.23,15.05
2014-09-30,95.85,$7.09,13.52
2014-06-30,105.14,$6.85,15.35
2014-03-31,99.72,$6.65,15.0
2013-12-31,106.71,$6.73,15.86
2013-09-30,89.84,$6.26,14.35
2013-06-30,78.49,$6.22,12.62
2013-03-31,74.98,$6.40,11.72
2012-12-31,69.33,$6.73,10.3
2012-09-30,67.76,$7.10,9.54
2012-06-30,62.02,$7.44,8.34
2012-03-31,67.88,$7.27,9.34
2011-12-31,60.94,$6.94,8.78
2011-09-30,50.24,$6.77,7.42
2011-06-30,71.01,$6.37,11.15
2011-03-31,74.61,$5.94,12.56
2010-12-31,67.77,$5.20,13.03
2010-09-30,54.82,$4.45,12.32
2010-06-30,43.21,$3.39,12.75
2010-03-31,50.24,$2.34,21.47
2009-12-31,41.63,$1.73,24.07
