Invitation Home PE Ratio Historical Data,Invitation Home PE Ratio Historical Data,Invitation Home PE Ratio Historical Data,Invitation Home PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,36.84,,47.84
2024-06-30,35.89,$0.77,46.61
2024-03-31,35.33,$0.87,40.61
2023-12-31,33.57,$0.84,39.97
2023-09-30,30.69,$0.79,38.84
2023-06-30,33.06,$0.71,46.57
2023-03-31,29.79,$0.67,44.46
2022-12-31,28.05,$0.62,45.25
2022-09-30,31.73,$0.58,54.7
2022-06-30,33.23,$0.57,58.31
2022-03-31,37.3,$0.50,74.6
2021-12-31,41.87,$0.45,93.05
2021-09-30,35.25,$0.45,78.33
2021-06-30,34.15,$0.39,87.56
2021-03-31,29.15,$0.36,80.98
2020-12-31,26.92,$0.35,76.9
2020-09-30,25.23,$0.33,76.45
2020-06-30,24.69,$0.33,74.81
2020-03-31,19.05,$0.32,59.52
2019-12-31,26.58,$0.27,98.46
2019-09-30,26.15,$0.22,118.86
2019-06-30,23.5,$0.16,146.85
2019-03-31,21.27,$0.06,354.57
2018-12-31,17.46,$-0.01,0.0
2018-09-30,19.82,$-0.17,0.0
2018-06-30,19.85,$-0.24,0.0
2018-03-31,19.56,$-0.19,0.0
2017-12-31,20.09,$-0.30,0.0
