Intuit PE Ratio Historical Data,Intuit PE Ratio Historical Data,Intuit PE Ratio Historical Data,Intuit PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,630.26,,63.09
2024-07-31,647.35,$9.99,64.8
2024-04-30,624.73,$17.37,35.97
2024-01-31,629.55,$9.55,65.92
2023-07-31,508.62,$8.44,60.26
2023-04-30,440.51,$7.92,55.62
2023-01-31,418.66,$1.39,301.2
2022-10-31,422.61,$7.07,59.78
2022-07-31,450.1,$7.28,61.83
2023-10-31,492.82,$8.30,59.38
2022-04-30,412.49,$8.82,46.77
2022-01-31,546.16,$7.84,69.66
2021-10-31,615.03,$7.56,81.35
2021-07-31,520.03,$7.49,69.43
2021-04-30,403.96,$7.80,51.79
2021-01-31,353.54,$6.61,53.49
2020-10-31,307.5,$7.45,41.27
2020-07-31,298.85,$6.92,43.19
2020-04-30,262.74,$5.07,51.82
2020-01-31,272.46,$6.18,44.09
2019-10-31,249.74,$5.99,41.69
2019-07-31,268.42,$5.90,45.49
2019-04-30,242.59,$6.25,38.81
2019-01-31,208.16,$5.62,37.04
2018-10-31,203.04,$4.82,42.12
2018-07-31,196.12,$4.62,42.45
2018-04-30,177.11,$4.53,39.1
2018-01-31,160.55,$3.64,44.11
2017-10-31,144.07,$3.77,38.21
2017-07-31,130.54,$3.72,35.09
2017-04-30,118.82,$3.47,34.24
2017-01-31,112.2,$3.71,30.24
2016-10-31,102.59,$3.75,27.36
2016-07-31,104.39,$3.76,27.76
2016-04-30,94.64,$3.97,23.84
2016-01-31,89.34,$1.81,49.36
2015-10-31,90.84,$1.49,60.97
2015-07-31,98.29,$1.31,75.03
2015-04-30,93.01,$1.12,83.05
2015-01-31,80.28,$2.73,29.41
2014-10-31,81.16,$2.83,28.68
2014-07-31,75.36,$3.08,24.47
2014-04-30,69.48,$3.17,21.92
2014-01-31,67.02,$2.49,26.91
2013-10-31,65.17,$2.85,22.87
2013-07-31,58.17,$2.83,20.55
2013-04-30,54.13,$2.89,18.73
2013-01-31,56.46,$2.60,21.72
2012-10-31,53.64,$2.76,19.44
2012-07-31,52.23,$2.61,20.01
2012-04-30,52.05,$2.41,21.6
2012-01-31,50.55,$2.19,23.08
2011-10-31,47.93,$2.03,23.61
2011-07-31,41.57,$2.09,19.89
2011-04-30,49.46,$4.06,12.18
2011-01-31,41.78,$2.21,18.9
2010-07-31,35.39,$1.77,19.99
2010-04-30,32.22,$1.70,18.95
2010-01-31,26.36,$-0.30,0.0
2009-10-31,25.88,$0.82,31.56
2009-07-31,26.44,$1.29,20.5
