Cognizant Technology Solutions PE Ratio Historical Data,Cognizant Technology Solutions PE Ratio Historical Data,Cognizant Technology Solutions PE Ratio Historical Data,Cognizant Technology Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,77.77,,17.72
2024-06-30,67.73,$4.39,15.43
2024-03-31,72.68,$4.16,17.47
2023-12-31,74.61,$4.20,17.77
2023-09-30,66.64,$4.11,16.21
2023-06-30,63.95,$4.29,14.91
2023-03-31,59.42,$4.49,13.23
2022-12-31,55.53,$4.42,12.56
2022-09-30,55.52,$4.50,12.34
2022-06-30,64.98,$4.31,15.08
2022-03-31,86.01,$4.17,20.62
2021-12-31,84.83,$4.05,20.95
2021-09-30,70.74,$3.54,19.98
2021-06-30,65.82,$3.15,20.89
2021-03-31,73.99,$2.85,25.96
2020-12-31,77.37,$2.57,30.11
2020-09-30,65.35,$2.70,24.2
2020-06-30,53.31,$2.96,18.01
2020-03-31,43.41,$3.19,13.61
2019-12-31,57.76,$3.29,17.55
2019-09-30,55.95,$3.69,15.16
2019-06-30,58.66,$3.61,16.25
2019-03-31,66.82,$3.49,19.15
2018-12-31,58.39,$3.60,16.22
2018-09-30,70.76,$2.45,28.88
2018-06-30,72.25,$2.47,29.25
2018-03-31,73.44,$2.49,29.49
2017-12-31,64.63,$2.53,25.55
2017-09-30,65.88,$3.24,20.33
2017-06-30,60.17,$3.13,19.22
2017-03-31,53.81,$2.74,19.64
2016-12-31,50.66,$2.54,19.94
2016-09-30,43.14,$2.55,16.92
2016-06-30,51.75,$2.47,20.95
2016-03-31,56.69,$2.74,20.69
2015-12-31,54.27,$2.64,20.56
2015-09-30,56.58,$2.54,22.28
2015-06-30,55.23,$2.47,22.36
2015-03-31,56.41,$2.40,23.5
2014-12-31,47.61,$2.35,20.26
2014-09-30,40.48,$2.29,17.68
2014-06-30,44.22,$2.24,19.79
2014-03-31,45.75,$2.12,21.58
2013-12-31,45.65,$2.02,22.66
2013-09-30,37.12,$1.95,19.09
2013-06-30,28.32,$1.88,15.1
2013-03-31,34.64,$1.79,19.35
2012-12-31,33.4,$1.72,19.42
2012-09-30,31.6,$1.65,19.15
2012-06-30,27.12,$1.56,17.39
2012-03-31,34.79,$1.49,23.43
2011-12-31,29.07,$1.42,20.47
2011-09-30,28.34,$1.36,20.84
2011-03-31,36.8,$1.28,28.86
2010-12-31,33.13,$1.19,27.96
2010-09-30,29.15,$1.09,26.74
2010-06-30,22.63,$1.10,20.67
2010-03-31,23.05,$1.04,22.16
2009-12-31,20.49,$1.03,19.9
2011-06-30,33.16,$0.99,33.66
