Best Buy PE Ratio Historical Data,Best Buy PE Ratio Historical Data,Best Buy PE Ratio Historical Data,Best Buy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,100.4,,22.51
2024-07-31,86.52,$4.46,19.4
2024-04-30,72.9,$5.71,12.77
2024-01-31,70.91,$5.69,12.46
2023-10-31,64.56,$5.80,11.13
2023-07-31,79.21,$5.81,13.63
2023-04-30,70.24,$5.91,11.88
2023-01-31,82.62,$6.29,13.13
2022-10-31,63.03,$6.68,9.44
2022-07-31,70.1,$7.46,9.4
2022-04-30,80.86,$9.01,8.97
2022-01-31,88.46,$9.84,8.99
2021-10-31,108.17,$10.32,10.48
2021-07-31,98.8,$9.80,10.08
2021-04-30,101.6,$8.55,11.88
2021-01-31,94.5,$6.84,13.82
2020-10-31,96.35,$6.58,14.64
2020-07-31,85.58,$6.20,13.8
2020-04-30,65.49,$5.44,12.04
2020-01-31,71.56,$5.81,12.32
2019-10-31,60.34,$5.66,10.66
2019-07-31,63.81,$5.55,11.5
2019-04-30,61.57,$5.52,11.15
2019-01-31,48.67,$5.26,9.25
2018-10-31,57.2,$3.80,15.05
2018-07-31,60.82,$3.59,16.94
2018-04-30,61.65,$3.40,18.13
2018-01-31,58.47,$4.59,12.74
2017-10-31,44.56,$3.97,11.22
2017-07-31,46.16,$3.80,12.15
2017-01-31,34.76,$3.83,9.08
2016-10-31,30.2,$3.32,9.1
2016-07-31,25.88,$3.07,8.43
2016-04-30,24.48,$2.92,8.38
2016-01-31,20.83,$2.58,8.07
2015-10-31,25.94,$2.64,9.82
2015-07-31,23.76,$2.58,9.21
2015-04-30,25.33,$2.72,9.31
2015-01-31,25.27,$2.78,9.09
2014-10-31,24.38,$2.63,9.27
2017-04-30,40.75,$3.16,12.9
2014-07-31,21.11,$2.72,7.76
2014-04-30,18.3,$3.07,5.96
2014-01-31,16.51,$1.52,10.86
2013-10-31,29.89,$-0.52,0.0
2013-07-31,20.92,$-0.71,0.0
2013-04-30,17.96,$-1.44,0.0
2013-01-31,11.15,$-0.74,0.0
2012-10-31,10.28,$-4.42,0.0
2012-07-31,12.12,$-4.39,0.0
2012-04-30,14.67,$-4.01,0.0
2012-01-31,15.8,$-4.47,0.0
2011-11-30,17.75,$0.89,19.94
2011-10-31,17.19,$0.89,19.31
2011-08-31,16.65,$0.81,20.56
2011-07-31,17.96,$0.81,22.17
2011-05-31,20.57,$0.34,60.5
2011-04-30,20.22,$0.34,59.47
2011-02-28,20.78,0,0.0
2010-11-30,27.41,0,0.0
2010-08-31,20.07,0,0.0
2010-05-31,26.9,0,0.0
2010-02-28,23.17,0,0.0
2009-11-30,27.09,0,0.0
2009-08-31,22.86,0,0.0
