Marriott PE Ratio Historical Data,Marriott PE Ratio Historical Data,Marriott PE Ratio Historical Data,Marriott PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,234.69,,23.47
2024-06-30,241.08,$10.00,24.11
2024-03-31,250.91,$9.69,25.89
2023-12-31,223.78,$10.19,21.96
2023-09-30,194.56,$9.44,20.61
2023-06-30,181.37,$8.87,20.45
2023-03-31,163.45,$8.55,19.12
2022-12-31,146.22,$7.26,20.14
2022-09-30,137.29,$6.56,20.93
2022-06-30,133.0,$5.29,25.14
2022-03-31,171.56,$4.51,38.04
2021-12-31,161.3,$3.34,48.29
2021-09-30,144.56,$1.42,101.8
2021-06-30,133.26,$1.06,125.72
2021-03-31,144.58,$-0.94,0.0
2020-12-31,128.77,$-0.82,0.0
2020-09-30,90.37,$0.53,170.51
2020-06-30,83.68,$1.38,60.64
2020-03-31,73.02,$2.79,26.17
2019-12-31,147.23,$3.79,38.85
2019-09-30,120.48,$3.86,31.21
2019-06-30,135.4,$4.08,33.19
2019-03-31,120.26,$5.10,23.58
2018-12-31,104.03,$5.10,20.4
2018-09-30,126.07,$4.72,26.71
2018-06-30,120.49,$4.38,27.51
2018-03-31,129.03,$3.75,34.41
2017-12-31,128.49,$3.60,35.69
2017-09-30,104.11,$3.68,28.29
2017-06-30,94.41,$2.90,32.56
2017-03-31,88.36,$2.78,31.78
2016-12-31,77.3,$2.69,28.74
2016-09-30,62.71,$2.84,22.08
2016-06-30,61.63,$3.36,18.34
2016-03-31,65.71,$3.27,20.1
2015-12-31,61.66,$3.15,19.57
2015-09-30,62.54,$3.06,20.44
2015-06-30,67.95,$2.93,23.19
2015-03-31,73.14,$2.70,27.09
2014-12-31,70.88,$2.54,27.91
2014-09-30,63.33,$2.35,26.95
2014-06-30,57.91,$2.22,26.08
2014-03-31,50.43,$2.15,23.46
2013-12-31,44.29,$2.14,20.7
2013-09-30,37.61,$2.09,17.99
2013-06-30,35.94,$1.99,18.06
2012-12-31,32.94,$1.72,19.15
2012-09-30,34.43,$1.57,21.93
2012-06-30,34.4,$1.56,22.05
2012-03-31,33.11,$0.62,53.4
2011-12-31,25.44,$0.69,36.87
2013-03-31,37.45,$0.54,69.36
2011-09-30,22.33,$0.57,39.17
2011-06-30,28.99,$1.31,22.13
2011-03-31,28.98,$1.22,23.76
2010-12-31,33.76,$-0.35,0.0
2010-09-30,29.05,$-0.71,0.0
2009-12-31,22.01,$-0.99,0.0
2009-09-30,22.21,$-0.96,0.0
2009-06-30,17.7,$0.57,31.06
