Skyworks Solutions PE Ratio Historical Data,Skyworks Solutions PE Ratio Historical Data,Skyworks Solutions PE Ratio Historical Data,Skyworks Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,109.59,,22.6
2024-06-30,105.88,$4.85,21.83
2024-03-31,106.84,$5.32,20.08
2023-12-31,110.16,$5.64,19.53
2023-09-30,95.92,$6.13,15.65
2023-06-30,107.01,$6.49,16.49
2023-03-31,113.39,$6.93,16.36
2022-12-31,87.1,$7.33,11.88
2022-09-30,80.95,$7.80,10.38
2022-06-30,87.43,$7.87,11.11
2022-03-31,125.1,$8.23,15.2
2021-12-31,145.02,$8.32,17.43
2021-09-30,153.48,$8.97,17.11
2021-06-30,178.05,$8.48,21.0
2021-03-31,169.86,$7.23,23.49
2020-12-31,141.16,$6.34,22.26
2020-09-30,133.86,$4.79,27.94
2020-06-30,117.22,$4.55,25.76
2020-03-31,81.64,$4.61,17.71
2019-12-31,109.99,$4.78,23.01
2019-09-30,71.79,$4.88,14.71
2019-06-30,69.58,$5.24,13.28
2019-03-31,73.86,$5.98,12.35
2018-12-31,59.67,$6.25,9.55
2018-09-30,80.33,$5.03,15.97
2018-06-30,85.25,$4.96,17.19
2018-03-31,88.15,$4.71,18.71
2017-12-31,83.23,$4.41,18.87
2017-09-30,89.06,$5.41,16.46
2017-06-30,83.6,$5.21,16.05
2017-03-31,85.13,$4.86,17.52
2016-12-31,64.67,$4.74,13.64
2016-09-30,65.71,$5.18,12.69
2016-06-30,54.38,$5.05,10.77
2016-03-31,66.68,$5.14,12.97
2015-12-31,65.47,$4.91,13.33
2015-09-30,71.39,$4.10,17.41
2015-06-30,88.15,$3.82,23.07
2015-03-31,83.11,$3.34,24.88
2014-12-31,61.39,$2.89,21.24
2014-09-30,48.91,$2.37,20.64
2014-06-30,39.48,$1.91,20.67
2014-03-31,31.46,$1.67,18.84
2013-12-31,23.95,$1.59,15.06
2013-09-30,20.83,$1.44,14.46
2013-06-30,18.36,$1.31,14.01
2013-03-31,18.47,$1.23,15.01
2012-12-31,17.02,$1.09,15.62
2012-09-30,19.76,$1.05,18.81
2012-06-30,22.91,$1.08,21.21
2012-03-31,23.19,$1.09,21.27
2011-12-31,13.6,$1.17,11.62
2011-09-30,15.06,$1.19,12.66
2011-06-30,19.27,$1.10,17.52
2011-03-31,27.17,$1.02,26.64
2010-12-31,24.01,$0.91,26.38
2010-09-30,17.33,$0.75,23.11
2010-06-30,14.08,$0.82,17.17
2010-03-31,13.08,$0.75,17.44
2009-12-31,11.9,$0.57,20.87
