ADP PE Ratio Historical Data,ADP PE Ratio Historical Data,ADP PE Ratio Historical Data,ADP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,275.91,,30.29
2024-06-30,238.69,$9.11,26.2
2024-03-31,248.31,$8.96,27.71
2023-12-31,230.31,$8.59,26.81
2023-09-30,236.4,$8.41,28.11
2023-06-30,214.9,$8.20,26.21
2023-03-31,216.41,$7.83,27.64
2022-12-31,230.87,$7.53,30.66
2022-09-30,217.58,$7.23,30.09
2022-06-30,201.18,$7.01,28.7
2022-03-31,216.9,$6.77,32.04
2021-12-31,233.89,$6.46,36.21
2021-09-30,188.78,$6.32,29.87
2021-06-30,186.7,$6.07,30.76
2021-03-31,176.34,$5.77,30.56
2020-12-31,164.02,$5.77,28.43
2020-09-30,129.15,$5.76,22.42
2020-06-30,136.91,$5.70,24.02
2020-03-31,124.89,$5.83,21.42
2019-12-31,154.71,$5.66,27.33
2019-09-30,145.68,$5.43,26.83
2019-06-30,148.47,$5.24,28.33
2019-03-31,142.77,$4.40,32.45
2018-12-31,116.58,$4.12,28.3
2018-09-30,133.19,$3.90,34.15
2018-06-30,118.03,$3.65,32.34
2018-03-31,99.34,$3.99,24.9
2017-12-31,102.04,$3.67,27.8
2017-09-30,94.67,$3.43,27.6
2017-06-30,88.27,$3.15,28.02
2016-12-31,87.57,$3.73,23.48
2016-09-30,74.71,$3.34,22.37
2016-06-30,77.36,$3.25,23.8
2016-03-31,75.09,$3.35,22.41
2015-12-31,70.47,$3.21,21.95
2015-09-30,66.38,$3.16,21.01
2015-06-30,65.91,$3.05,21.61
2015-03-31,69.94,$2.93,23.87
2014-12-31,67.7,$2.98,22.72
2014-09-30,58.97,$3.07,19.21
2014-06-30,55.95,$3.14,17.82
2014-03-31,54.19,$3.01,18.0
2013-12-31,56.32,$2.92,19.29
2013-09-30,50.15,$2.94,17.06
2013-06-30,47.43,$2.89,16.41
2013-03-31,44.5,$2.95,15.09
2012-12-31,38.69,$2.88,13.43
2012-09-30,39.56,$2.84,13.93
2012-06-30,37.28,$2.82,13.22
2012-03-31,36.7,$2.77,13.25
2011-12-31,35.65,$2.70,13.2
2011-09-30,30.89,$2.56,12.07
2011-06-30,34.26,$2.51,13.65
2011-03-31,33.14,$2.45,13.53
2010-12-31,29.68,$2.40,12.37
2010-09-30,26.75,$2.40,11.15
2010-06-30,25.41,$2.40,10.59
2010-03-31,27.83,$2.68,10.39
2009-12-31,26.59,$2.68,9.92
2009-09-30,24.22,$3.37,7.19
