Roper Technologies PE Ratio Historical Data,Roper Technologies PE Ratio Historical Data,Roper Technologies PE Ratio Historical Data,Roper Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,554.41,,41.07
2024-06-30,562.9,$13.50,41.7
2024-03-31,559.3,$13.78,40.59
2023-12-31,542.91,$12.89,42.12
2023-09-30,481.6,$27.34,17.62
2023-06-30,477.45,$27.17,17.57
2023-03-31,436.94,$26.29,16.62
2022-12-31,427.76,$42.58,10.05
2022-09-30,355.45,$27.22,13.06
2022-06-30,389.46,$26.87,14.49
2022-03-31,465.42,$27.04,17.21
2021-12-31,484.11,$10.83,44.7
2021-09-30,438.55,$10.54,41.61
2021-06-30,461.67,$10.04,45.98
2021-03-31,395.48,$9.43,41.94
2020-12-31,422.14,$8.98,47.01
2020-09-30,386.41,$14.85,26.02
2020-06-30,379.22,$15.28,24.82
2020-03-31,304.04,$15.58,19.51
2019-12-31,344.92,$16.83,20.49
2019-09-30,346.76,$11.01,31.49
2019-06-30,355.71,$10.74,33.12
2019-03-31,331.68,$10.55,31.44
2018-12-31,258.5,$9.05,28.56
2018-09-30,286.9,$10.86,26.42
2018-06-30,266.84,$10.33,25.83
2018-03-31,271.04,$9.88,27.43
2017-12-31,249.71,$9.38,26.62
2017-09-30,234.34,$6.89,34.01
2017-06-30,222.59,$6.68,33.32
2017-03-31,198.18,$6.48,30.58
2016-12-31,175.38,$6.43,27.28
2016-09-30,174.51,$6.70,26.05
2016-06-30,162.82,$6.65,24.48
2016-03-31,174.19,$6.80,25.62
2015-12-31,180.58,$6.86,26.32
2015-09-30,148.88,$6.65,22.39
2015-06-30,163.61,$6.61,24.75
2015-03-31,162.93,$6.48,25.14
2014-12-31,147.86,$6.40,23.1
2014-09-30,138.16,$6.21,22.25
2014-06-30,137.71,$6.03,22.84
2014-03-31,125.73,$5.58,22.53
2013-12-31,130.41,$5.37,24.29
2013-09-30,124.79,$5.16,24.18
2013-06-30,116.51,$4.97,23.44
2013-03-31,119.25,$5.01,23.8
2012-12-31,104.42,$4.85,21.53
2012-09-30,102.65,$4.64,22.12
2012-06-30,91.95,$4.59,20.03
2012-03-31,92.36,$4.52,20.43
2011-12-31,80.79,$4.34,18.61
2011-09-30,63.99,$4.21,15.2
2011-06-30,77.25,$3.96,19.51
2011-03-31,80.08,$3.62,22.12
2010-12-31,70.69,$3.33,21.23
2010-09-30,60.2,$3.00,20.07
2010-06-30,51.59,$2.74,18.83
2010-03-31,53.24,$2.64,20.17
2009-12-31,48.12,$2.58,18.65
