McCormick PE Ratio Historical Data,McCormick PE Ratio Historical Data,McCormick PE Ratio Historical Data,McCormick PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,80.03,,29.21
2024-05-31,71.79,$2.74,26.2
2024-02-29,68.07,$2.62,25.98
2023-11-30,63.69,$2.69,23.68
2023-08-31,80.15,$2.70,29.69
2023-05-31,83.33,$2.51,33.2
2022-11-30,82.05,$2.52,32.56
2022-08-31,80.57,$2.56,31.47
2022-05-31,88.46,$2.53,34.96
2022-02-28,90.47,$2.77,32.66
2021-11-30,81.27,$2.80,29.02
2021-08-31,81.36,$2.81,28.96
2021-05-31,83.65,$2.79,30.04
2021-02-28,78.86,$2.63,30.04
2020-11-30,87.16,$2.76,31.64
2020-08-31,95.81,$2.56,37.5
2023-02-28,71.92,$2.59,27.82
2020-05-31,81.11,$2.78,29.18
2020-02-29,67.43,$2.61,25.83
2019-11-30,77.78,$2.63,29.63
2019-08-31,74.59,$2.63,28.36
2019-05-31,71.21,$2.57,27.76
2019-02-28,61.83,$2.47,25.03
2018-11-30,67.92,$3.51,19.38
2018-08-31,56.33,$3.37,16.74
2018-05-31,45.36,$3.14,14.45
2018-02-28,47.72,$3.07,15.54
2017-11-30,45.43,$1.85,24.56
2017-08-31,42.1,$1.81,23.26
2017-05-31,45.86,$1.89,24.33
2017-02-28,43.14,$1.86,23.26
2016-11-30,39.77,$1.85,21.5
2016-08-31,44.26,$1.81,24.46
2016-05-31,41.97,$1.69,24.84
2016-02-29,40.15,$1.65,24.33
2015-11-30,36.81,$1.56,23.6
2015-08-31,33.8,$1.55,21.81
2015-05-31,33.3,$1.64,20.31
2015-02-28,31.81,$1.64,19.46
2014-11-30,31.2,$1.67,18.68
2014-08-31,29.1,$1.59,18.3
2014-05-31,30.03,$1.51,19.89
2014-02-28,27.44,$1.49,18.48
2013-11-30,28.36,$1.46,19.42
2013-08-31,27.66,$1.53,18.14
2013-05-31,28.1,$1.53,18.43
2013-02-28,27.24,$1.53,17.8
2012-11-30,26.0,$1.52,17.11
2012-08-31,24.62,$1.46,16.92
2012-05-31,22.47,$1.41,15.94
2012-02-29,20.0,$1.39,14.44
2011-11-30,19.19,$1.61,11.96
2011-08-31,18.72,$1.50,12.52
2011-05-31,19.55,$1.40,14.01
2010-11-30,16.94,$1.38,12.32
2010-08-31,15.25,$1.32,11.6
2010-05-31,14.65,$1.22,12.01
2010-02-28,14.0,$1.26,11.11
2009-11-30,13.37,$1.20,11.19
2011-02-28,18.45,$0.98,18.83
