West Pharmaceutical Services PE Ratio Historical Data,West Pharmaceutical Services PE Ratio Historical Data,West Pharmaceutical Services PE Ratio Historical Data,West Pharmaceutical Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,313.63,,44.61
2024-06-30,329.18,$7.03,46.82
2024-03-31,395.25,$7.58,52.14
2023-12-31,351.52,$7.88,44.61
2023-09-30,374.57,$7.41,50.55
2023-06-30,381.63,$6.86,55.63
2023-03-31,345.52,$7.28,47.46
2022-12-31,234.54,$7.72,30.38
2022-09-30,245.02,$8.29,29.56
2022-06-30,300.89,$9.01,33.39
2022-03-31,408.5,$9.00,45.39
2021-12-31,466.26,$8.70,53.59
2021-09-30,421.87,$8.06,52.34
2021-06-30,356.68,$6.84,52.15
2021-03-31,279.73,$5.58,50.13
2020-12-31,281.09,$4.58,61.37
2020-09-30,272.58,$4.13,66.0
2020-06-30,225.12,$3.79,59.4
2020-03-31,150.73,$3.46,43.56
2019-12-31,148.68,$3.20,46.46
2019-09-30,140.1,$3.05,45.93
2019-06-30,123.48,$3.03,40.75
2019-03-31,108.59,$2.90,37.44
2018-12-31,96.46,$2.75,35.08
2018-09-30,121.33,$2.06,58.9
2018-06-30,97.43,$2.00,48.72
2018-03-31,86.5,$1.76,49.15
2017-12-31,96.54,$1.99,48.51
2017-09-30,94.04,$2.51,37.47
2017-06-30,92.21,$2.34,39.41
2017-03-31,79.49,$2.43,32.71
2016-12-31,82.5,$1.92,42.97
2016-09-30,72.32,$1.85,39.09
2016-06-30,73.55,$1.37,53.68
2016-03-31,67.08,$1.15,58.33
2015-12-31,58.15,$1.30,44.73
2015-09-30,52.15,$1.28,40.74
2015-06-30,55.86,$1.69,33.05
2015-03-31,57.8,$1.83,31.58
2014-12-31,51.0,$1.76,28.98
2014-09-30,42.77,$1.66,25.77
2014-06-30,40.2,$1.60,25.13
2014-03-31,41.89,$1.51,27.74
2013-12-31,46.56,$1.58,29.47
2013-09-30,38.97,$1.55,25.14
2013-06-30,33.18,$1.40,23.79
2013-03-31,30.58,$1.19,25.7
2012-12-31,25.69,$1.15,22.44
2012-09-30,24.82,$1.12,22.26
2012-06-30,23.53,$1.15,20.55
2012-03-31,19.73,$1.21,16.37
2011-12-31,17.52,$1.08,16.22
2011-09-30,17.05,$0.90,18.94
2011-06-30,20.03,$0.91,22.01
2011-03-31,20.42,$0.94,21.83
2010-12-31,18.71,$0.94,19.9
2010-09-30,15.51,$1.15,13.54
2010-06-30,16.42,$1.14,14.4
2010-03-31,18.81,$1.12,16.87
2009-12-31,17.5,$1.06,16.51
