Kraft Heinz PE Ratio Historical Data,Kraft Heinz PE Ratio Historical Data,Kraft Heinz PE Ratio Historical Data,Kraft Heinz PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,35.43,,22.71
2024-06-30,31.86,$1.56,20.42
2024-03-31,36.07,$2.29,15.75
2023-12-31,35.73,$2.35,15.21
2023-09-30,32.14,$2.09,15.38
2023-06-30,33.51,$2.09,16.03
2022-12-31,37.63,$1.91,19.7
2022-09-30,30.52,$0.98,31.14
2022-06-30,34.54,$1.31,26.37
2022-03-31,35.29,$1.69,20.88
2021-12-31,31.83,$1.04,30.6
2023-03-31,36.13,$1.71,21.13
2021-09-30,32.27,$1.87,17.26
2021-06-30,35.35,$1.77,19.97
2021-03-31,34.36,$0.44,78.09
2020-12-31,29.47,$0.29,101.61
2020-09-30,25.15,$-0.40,0.0
2020-06-30,26.48,$-0.15,0.0
2020-03-31,20.27,$1.57,12.91
2019-12-31,25.82,$1.59,16.24
2019-09-30,22.16,$-8.90,0.0
2019-06-30,24.24,$-9.13,0.0
2019-03-31,25.13,$-8.88,0.0
2018-12-31,32.71,$-8.40,0.0
2018-09-30,41.39,$8.46,4.89
2018-06-30,46.69,$8.72,5.35
2018-03-31,45.81,$9.04,5.07
2017-12-31,56.65,$8.96,6.32
2017-09-30,56.06,$3.21,17.46
2017-06-30,61.46,$3.13,19.64
2017-03-31,64.74,$2.82,22.96
2016-12-31,61.85,$2.82,21.93
2016-09-30,62.94,$2.28,27.6
2016-06-30,61.79,$1.32,46.81
